,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
99,14.57030046,8.806890117,8.150174043,1.489333138,A3483,San Joaquin River,38.04661,-121.69629, , ,,,,Western Delta Tidal Zone
100,14.50284437,8.319763324,8.267873123,1.454606062,A3484,San Joaquin River,38.046462,-121.698672, , ,,,,Western Delta Tidal Zone
101,14.06007586,7.980479881,7.954261525,1.446146638,A3485,San Joaquin River,38.044824,-121.699215, , ,,,,Western Delta Tidal Zone
102,13.70039455,8.032391968,8.060828943,1.405399222,A3486,San Joaquin River,38.044581,-121.701228, , ,,,,Western Delta Tidal Zone
103,12.81549762,7.163738514,7.438592765,1.247759611,A3487,San Joaquin River,38.04369,-121.70258, , ,,,,Western Delta Tidal Zone
104,12.63227114,7.231456842,7.486868973,1.13570575,A3488,San Joaquin River,38.042629,-121.703797, , ,,,,Western Delta Tidal Zone
105,12.07783969,7.115096098,7.07297467,1.032291923,A3489,San Joaquin River,38.041833,-121.705234, , ,,,,Western Delta Tidal Zone
106,11.83284771,6.944751356,7.08849452,0.889649333,A3490,San Joaquin River,38.040578,-121.706383, , ,,,,Western Delta Tidal Zone
107,11.68974495,7.122694218,7.043900026,0.831276776,A3491,San Joaquin River,38.040153,-121.708128, , ,,,,Western Delta Tidal Zone
108,11.45794296,6.624557019,6.617500993,0.8348855,A3492,San Joaquin River,38.039503,-121.70972, , ,,,,Western Delta Tidal Zone
109,11.21108866,6.458108681,6.495828367,0.916485389,A3493,San Joaquin River,38.038827,-121.711256, , ,,,,Western Delta Tidal Zone
110,11.20506202,6.737024099,6.846390627,0.991320115,A3494,San Joaquin River,38.03836,-121.712843, , ,,,,Western Delta Tidal Zone
111,11.28751833,6.727363983,6.68422622,0.91657425,A3495,San Joaquin River,38.038601,-121.714768, , ,,,,Western Delta Tidal Zone
112,11.13921411,6.5528424,6.602462272,0.881323731,A3496,San Joaquin River,38.038051,-121.716489, , ,,,,Western Delta Tidal Zone
113,10.97350159,6.350427024,6.370447731,0.943965688,A3497,San Joaquin River,38.037947,-121.71838, , ,,,,Western Delta Tidal Zone
114,10.94664235,6.180491046,6.392059553,0.928342,A3498,San Joaquin River,38.037495,-121.72028, , ,,,,Western Delta Tidal Zone
115,11.03419858,6.453526329,6.436724566,0.91724604,A3499,San Joaquin River,38.036978,-121.722216, , ,,,,Western Delta Tidal Zone
116,11.05750296,6.520639636,6.270948239,0.956761687,A3500,San Joaquin River,38.035478,-121.723504, , ,,,,Western Delta Tidal Zone
117,10.77139237,6.369673341,6.374937842,0.976414368,A3501,San Joaquin River,38.033637,-121.724393, , ,,,,Western Delta Tidal Zone
118,9.606569157,4.830309319,4.571911114,1.122858702,A3502,San Joaquin River,38.032547,-121.725817, , ,,,,Western Delta Tidal Zone
