"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"CV","D4",38.0602,-121.824,0,"2014-09-11",9,5,2014,900,20.31,8.06,91.3,NA,7223,3.95,17.8,7.76,2.1,NA,0.03,0.35,2178,NA,1.8,2,0.4,NA,0.09,0.12,13.7,5,4008,25,NA,NA,1436.95,0.51182363,58.25,0.02267,3.41e+09,27300,12432,0,9390,279466,0.64,0,0
"FieldCont","",NA,NA,1,"",9,5,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,13,178,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-09-11",9,5,2014,1322,22.45,9.79,133.3,NA,751,0.35,4,8.44,1.8,NA,0.02,0.13,160,NA,2.5,2.5,0.2,NA,0.08,0.1,13.6,0,418,1,NA,NA,5242.91,3.342436936,177.19,0.09123,2.81e+09,135000,123744,0,16000,299095,0.86,0,0
"JP","",38.0517,-121.6953,0,"2014-09-11",9,5,2014,948,21.54,8.53,96.9,NA,1415,0.69,13.7,7.89,2.1,NA,0.02,0.25,345,NA,2.1,2.2,0.1,NA,0.08,0.1,15.4,2,799,14,NA,NA,4111.8,2.732259376,504.63,0.21857,4.75e+09,85800,43272,1224,23800,266277,1.06,0,0
"MI","",37.9952,-121.5222,0,"2014-09-11",9,5,2014,1317,23.95,9.7,115.2,NA,421,0.19,1,8.22,2.5,NA,0.01,0.06,68,NA,3.2,2.9,0.2,NA,0.08,0.1,14.7,1,234,2,NA,NA,4005,2.452298138,123.79,0.02237,6.07e+09,180000,97763,1400,53800,1122006,0.95,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-09-11",9,5,2014,1251,22.8,8.32,96.5,NA,668,0.31,5.8,8.14,2.2,NA,0.01,0,136,NA,2.8,3.1,0.2,NA,0.09,0.1,12.5,1,372,2,NA,NA,5315.73,5.314093896,733.04,0.34691,2.16e+09,169000,114182,12652,98500,785708,1.27,0,0
"RR","P8",37.9633,-121.3663,0,"2014-09-11",9,5,2014,1230,25.7,8.43,103.6,NA,1421,0.69,3.1,7.75,3.4,NA,0.07,1.69,316,NA,4.8,5.1,0.5,NA,0.53,0.58,13.6,2,800,5,NA,NA,7802.33,3.027750545,89,0.04004,2.48e+09,354000,33933,1460,28800,1242328,0.63,0,0
"SJ","",38.0347,-121.4834,0,"2014-09-11",9,5,2014,1155,23.21,7.93,92.7,NA,381,0.17,1.4,8.11,2.4,NA,0.02,0.12,59,NA,2.9,3.2,0.3,NA,0.08,0.1,15.7,1,220,3,NA,NA,4450,1.802021531,77.13,0.06352,1.24e+09,130000,47145,5455,32700,688974,1.13,0,0
"VC","",37.872,-121.5277,0,"2014-09-11",9,5,2014,1215,23.97,7.92,94,NA,489,0.22,5.9,7.94,3.8,NA,0.02,0.03,84,NA,3.7,3.9,0.2,NA,0.09,0.11,13.4,2,270,5,NA,NA,4746.67,5.42048483,29.67,0.03681,3.1e+09,196000,97728,22824,83700,823052,1.39,0,0
"AT","D12",38.0232,-121.8071,0,"2014-09-29",9,6,2014,847,20.75,8.05,91.8,NA,7295,4,8.2,8.02,1.8,NA,0.05,0.34,2057,NA,2.4,2.5,0.4,NA,0.1,0.11,13.9,2,4112,10,NA,NA,5874,0.791009009,106.8,0.01653,8.51e+08,16000,5472,0,3830,59495,0.64,0,0
"BI","",38.1159,-121.6845,0,"2014-09-29",9,6,2014,843,21.22,8.1,91.7,NA,1509,0.74,13.1,7.86,1.9,NA,0.04,0.34,371,NA,2.4,2.6,0.3,NA,0.09,0.11,17.5,1,831,12,NA,NA,4757.45,2.974305141,288.85,0.13245,3.13e+09,107000,8832,0,15600,254691,5.22,0,0
"CV","D4",38.0602,-121.824,0,"2014-09-29",9,6,2014,928,20.71,8.16,94.2,NA,10107,5.68,8.9,7.82,1.8,NA,0.03,0.39,3056,NA,2.2,2.3,0.3,NA,0.1,0.11,13.8,2,5656,10,NA,NA,2621.45,0.460842343,182.05,0.02456,5.15e+08,25600,17082,0,4710,177163,0.7,0,0
"FieldCont","",NA,NA,1,"",9,6,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,119,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-09-29",9,6,2014,1315,21.83,10.08,115.4,NA,909,0.43,3.9,8.58,1.2,NA,0.02,0.18,206,NA,2.6,2.7,0.3,NA,0.09,0.1,14.4,0,508,2,NA,NA,5388.55,1.415673312,31.55,0.01132,1.2e+09,108000,16612,45,26400,316526,1.55,0,0
"JP","",38.0517,-121.6953,0,"2014-09-29",9,6,2014,919,21.23,8.29,94.1,NA,2048,1.02,10.1,8.1,2.1,NA,0.02,0.26,526,NA,2.6,2.7,0.4,NA,0.09,0.11,15.5,2,1140,8,NA,NA,7840.09,2.19105791,587.4,0.16116,1.31e+09,80500,8388,0,24400,264534,1.59,0,0
"MI","",37.9952,-121.5222,0,"2014-09-29",9,6,2014,1345,22.41,8.52,98.1,NA,438,0.2,1,7.93,3.1,NA,0.02,0.13,72,NA,2.9,3.1,0.3,NA,0.09,0.1,15.9,1,243,2,NA,NA,4456.85,1.376878951,100.64,0.03526,1.93e+09,56000,7604,95,38500,534055,0,0,0
"MIrep","",37.9952,-121.5222,1,"2014-09-29",9,6,2014,1349,22.3,8.32,96.5,NA,439,0.2,0.8,7.83,2.9,NA,0.02,0.14,72,NA,2.9,3.2,0.2,NA,0.08,0.1,15.3,1,243,2,NA,NA,4806,1.168322961,168.42,NA,1.34e+09,72300,6288,2130,47300,533259,0.32,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-09-29",9,6,2014,1245,22.04,7.89,90.5,NA,758,0.35,4.1,8.11,1,NA,0.02,0.05,158,NA,3,3,0.3,NA,0.09,0.1,12.2,0,422,2,NA,NA,5298.92,1.594932698,0,0.00073,7.4e+08,85000,10032,210,27100,265201,0.99,0,0
"RR","P8",37.9633,-121.3663,0,"2014-09-29",9,6,2014,1246,24.17,8.51,102.3,NA,1590,0.78,2.6,7.58,3.9,NA,0.12,2.17,373,NA,5,5.4,0.7,NA,0.53,0.62,13.4,1,918,4,NA,NA,4272,1.20646633,0,0.00927,3.16e+08,42900,13536,0,5300,229375,0.32,0,0
