Station ID,Station Name,State ,Date,Time,Sample Type,Data qualifiers for Total  microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL),Data qualifiers for Anatoxin-a (method LCM78),Anatoxin-a (method LCM78) (ug/L),Data qualifiers for Cylindrospermopsin,Cylindrospermopsin (ug/L),Data qualifiers for Domoic acid,Domoic acid (ug/L),Data qualifiers for Microcystin-HiLR,Microcystin-HiLR (ug/L),Data qualifiers for Microcystin-HtYR,Microcystin- HtYR (ug/L),Data qualifiers for Microcystin-LA,Microcystin-LA (ug/L),Data qualifiers for Microcystin-LF,Microcystin-LF (ug/L),Data qualifiers for Microcystin-LR,Microcystin-LR (ug/L),Data qualifiers for Microcystin-LW,Microcystin-LW (ug/L),Data qualifiers for Microcystin-LY,Microcystin-LY (ug/L),Data qualifiers for Microcystin-RR,Microcystin-RR (ug/L),Data qualifiers for Microcystin-WR,Microcystin-WR (ug/L),Data qualifiers for Microcystin-YR,Microcystin-YR (ug/L),Data qualifiers for Nodularin,Nodularin (ug/L)
06934500,"Missouri River at Hermann, MO",MO,7/12/2017,11:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,10.2,9.94,<,"1,300",,"6,600",<,"1,200",,"4,300",<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",MO,7/26/2017,12:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,25.4,10.7,<,"1,300",,"2,200",E,"3,600",,"6,900",<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",MO,8/16/2017,11:20,Regular,<,0.10,<,0.05,<,0.02,<,0.15,36.9,16.6,<,"1,300",<,560,E,"2,100",,"5,300",<,"1,800",,"9,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,6/6/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,22.2,10.0,<,"9,600",,"5,200",<,"1,900",<,790,<,"2,800",<,"15,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,6/20/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,18.3,10.1,<,"1,300",,"9,600",<,"1,200",,"3,200",<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,7/12/2017,10:40,Regular,<,0.10,<,0.05,<,0.02,<,0.15,17.4,4.70,<,"1,300",E,"2,700",<,"1,200",,"2,100",<,"1,800",<,"2,000",<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
08057410,"Trinity River below Dallas, TX",TX,7/25/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,19.2,12.9,<,"3,800",E,"1,400",<,"1,900",<,780,<,"2,800",<,"6,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,8/8/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,37.3,11.4,<,"1,900",<,840,E,"2,700",,"3,100",<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,8/22/2017,10:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,26.8,7.00,<,"1,300",<,560,<,"1,200",<,520,<,"1,800",<,"2,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
08057410,"Trinity River below Dallas, TX",TX,8/22/2017,10:31,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,24.8,6.87,<,"1,900",<,840,<,"1,900",E,"1,100",<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
