Dataset_Label,Dataset_Description,Definition_Source,Column_Label,Column_Definition,range_min,range_max,attribute_unit,attribute_resolution,enumerated_value,enumerated_definition
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,LONG_MAP,"Latitude in decimal degrees, Garmin GPS16X-HVS, NAD 1983, measurement while mapping underway",-121.70702,-121.30864,decimal degrees,0.00001,<<BLANK CELL>>,"null, no value"
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag400_ACS,"Absorption at 400 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.0990,3.8768,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag404_ACS,"Absorption at 404 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.1672,3.6647,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag408_ACS,"Absorption at 408 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.1348,3.4358,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag412_ACS,"Absorption at 412 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2972,3.1215,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag416_ACS,"Absorption at 416 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2160,2.9533,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag420_ACS,"Absorption at 420 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2648,2.7330,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag424_ACS,"Absorption at 424 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3595,2.5696,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag428_ACS,"Absorption at 428 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2341,2.4025,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag432_ACS,"Absorption at 432 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2282,2.2479,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag436_ACS,"Absorption at 436 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3271,2.1337,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag440_ACS,"Absorption at 440 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3236,1.9781,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag444_ACS,"Absorption at 444 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2188,1.8512,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag448_ACS,"Absorption at 448 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2034,1.7475,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag452_ACS,"Absorption at 452 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2063,1.6443,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag456_ACS,"Absorption at 456 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.1865,1.5819,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag460_ACS,"Absorption at 460 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.1921,1.4702,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag464_ACS,"Absorption at 464 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.2869,1.3939,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag468_ACS,"Absorption at 468 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3146,1.2958,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag472_ACS,"Absorption at 472 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3622,1.2355,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag476_ACS,"Absorption at 476 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.3873,1.1943,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag480_ACS,"Absorption at 480 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.5643,1.1207,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag484_ACS,"Absorption at 484 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.7167,1.0889,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag488_ACS,"Absorption at 488 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.4741,1.0199,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag492_ACS,"Absorption at 492 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.4263,0.9637,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag496_ACS,"Absorption at 496 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.8599,0.9277,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag500_ACS,"Absorption at 500 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.8741,0.8687,per meter,0.0001,,
FTS_acs_ag.csv,Comma Separated Value (CSV) file containing spectral absorption data for filtered water collected during 4 sampling events from a boat mounted flow through system using a Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor).,Producer Defined,ag504_ACS,"Absorption at 504 nm, filtered water sample, field measurement using Seabird Spectral Absorption and Attenuation field sensor (field ACS monitor)",-0.6873,0.8155,per meter,0.0001,,
