CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A697	38.128173	-121.693600	Western Delta tidal zone	Sacramento River	7/1/2020	11.17	6.04	22.56	184.72	7.92	7.97	92.23	4.60	1.56	16.69	2.95	18.48	22.60	175.27	0.09	0.74	1.51	1.27	0.00	3.52	21.40	42.21	36.45	0.00	17.22	2.00
A3096	38.130346	-121.580210	North Delta tidal transition zone	Georgiana Slough	7/1/2020	9.10	12.34	23.43	146.22	7.70	7.94	93.38	2.01	1.77	15.18	2.97	17.19	23.47	141.62	0.07	1.28	0.79	1.36	0.00	3.43	37.16	22.80	39.66	0.08	21.43	1.96
A3092	38.130115	-121.587393	North Delta tidal transition zone	Georgiana Slough	7/1/2020	8.52	12.14	23.42	147.56	7.71	7.95	93.44	2.07	1.72	15.11	2.77	17.01	23.48	142.93	0.07	1.13	0.73	1.30	0.01	3.17	35.42	24.17	32.38	0.13	20.66	1.91
A3387	38.129620	-121.576661	Mokelumne tidal transition zone	Mokelumne River	7/1/2020	9.41	12.41	23.41	145.96	7.71	7.96	93.59	1.98	1.86	15.48	3.18	17.46	23.45	141.36	0.07	1.43	0.84	1.43	0.01	3.70	38.66	19.49	39.17	0.16	21.82	1.97
A3385	38.130931	-121.573832	Mokelumne tidal transition zone	Mokelumne River	7/1/2020	9.26	12.41	23.43	145.61	7.70	7.96	93.67	1.99	1.80	15.31	3.06	17.29	23.45	140.95	0.07	1.33	0.86	1.41	0.00	3.58	37.28	20.80	39.88	0.04	21.67	1.95
A695	38.130808	-121.692024	Western Delta tidal zone	Sacramento River	7/1/2020	11.08	6.11	22.58	191.40	7.92	7.98	92.28	4.43	1.53	16.74	2.91	18.52	22.62	181.69	0.10	0.74	1.50	1.24	0.00	3.48	21.73	42.40	36.03	0.00	17.19	1.99
A3090	38.132130	-121.589886	North Delta tidal transition zone	Georgiana Slough	7/1/2020	8.24	12.06	23.41	147.85	7.71	7.96	93.58	2.11	1.69	14.78	2.70	16.83	23.48	143.24	0.07	1.07	0.72	1.29	0.01	3.08	34.69	23.60	34.14	0.16	20.29	1.88
A3088	38.134317	-121.592329	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.98	12.13	23.39	148.40	7.71	7.98	93.72	2.15	1.71	14.39	2.71	16.72	23.46	143.75	0.07	1.07	0.72	1.33	0.01	3.12	34.24	23.08	42.43	0.27	20.10	1.82
A693	38.133771	-121.691922	Western Delta tidal zone	Sacramento River	7/1/2020	11.05	6.42	22.61	164.92	7.90	7.93	91.76	4.21	1.48	16.69	2.80	18.49	22.65	156.88	0.08	0.72	1.36	1.16	0.00	3.22	22.31	41.96	36.03	0.00	17.47	2.00
A3086	38.136469	-121.594798	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.83	12.24	23.38	148.65	7.70	7.97	93.62	2.17	1.69	14.21	2.68	16.68	23.44	143.97	0.07	1.04	0.71	1.35	0.01	3.11	33.28	22.99	43.48	0.37	20.07	1.79
A691	38.136580	-121.691106	Western Delta tidal zone	Sacramento River	7/1/2020	11.01	6.58	22.62	160.23	7.89	7.91	91.57	4.14	1.46	16.73	2.76	18.55	22.66	152.51	0.08	0.70	1.32	1.13	0.00	3.14	22.33	42.05	35.95	0.00	17.59	2.00
A3084	38.138890	-121.596721	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.70	12.34	23.36	148.83	7.70	7.96	93.44	2.19	1.68	14.16	2.69	16.67	23.43	144.09	0.07	1.02	0.71	1.36	0.01	3.11	32.95	22.92	43.88	0.41	20.04	1.76
A689	38.139442	-121.690408	Western Delta tidal zone	Sacramento River	7/1/2020	11.01	6.74	22.63	156.40	7.88	7.89	91.39	4.10	1.45	16.78	2.73	18.63	22.67	148.95	0.08	0.68	1.29	1.10	0.00	3.06	22.32	42.12	35.85	0.00	17.75	2.01
A3082	38.141470	-121.598405	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.58	12.42	23.36	148.91	7.70	7.95	93.34	2.21	1.69	14.22	2.73	16.65	23.42	144.14	0.07	1.03	0.71	1.37	0.01	3.12	33.11	22.72	43.96	0.41	20.01	1.73
A687	38.142225	-121.689413	Western Delta tidal zone	Sacramento River	7/1/2020	10.90	7.03	22.66	157.71	7.87	7.88	91.26	3.99	1.43	16.93	2.69	18.80	22.71	150.28	0.08	0.66	1.24	1.04	0.00	2.93	22.43	42.13	35.68	0.00	17.92	2.00
A3080	38.143891	-121.600345	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.48	12.65	23.38	148.71	7.70	7.95	93.36	2.22	1.70	14.37	2.73	16.44	23.45	144.02	0.07	1.07	0.69	1.40	0.02	3.17	33.65	21.94	44.11	0.56	20.13	1.69
A685	38.145109	-121.688753	Western Delta tidal zone	Sacramento River	7/1/2020	10.86	7.15	22.67	154.66	7.87	7.87	91.19	3.92	1.42	16.94	2.66	18.83	22.72	147.43	0.07	0.63	1.20	1.02	0.00	2.84	22.06	42.18	35.96	0.00	18.01	2.01
A3078	38.146639	-121.600708	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.47	12.77	23.41	148.51	7.70	7.95	93.47	2.21	1.71	14.34	2.72	16.28	23.48	143.90	0.07	1.08	0.68	1.43	0.02	3.21	33.72	21.43	44.47	0.60	20.25	1.68
A3067	38.146916	-121.587492	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.69	14.55	23.29	147.32	7.67	7.93	92.96	2.16	1.54	13.81	2.45	16.40	23.35	142.44	0.07	0.84	0.71	1.25	0.00	2.80	30.16	25.49	44.29	0.03	22.23	1.73
A3070	38.148452	-121.591235	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.57	14.45	23.32	147.72	7.67	7.95	93.41	2.19	1.51	14.10	2.46	16.34	23.37	143.05	0.07	0.83	0.71	1.22	0.00	2.75	30.10	25.78	44.14	0.09	22.02	1.69
A683	38.147878	-121.687732	Western Delta tidal zone	Sacramento River	7/1/2020	10.57	7.18	22.78	154.54	7.85	7.86	91.35	3.63	1.56	16.99	2.64	18.74	22.84	147.69	0.07	0.60	1.09	1.00	0.00	2.69	21.96	40.61	37.56	0.00	17.75	2.00
A3076	38.149149	-121.598915	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.44	12.96	23.43	148.34	7.69	7.97	93.86	2.20	1.66	14.29	2.66	16.16	23.50	143.83	0.07	1.04	0.68	1.40	0.01	3.13	33.14	22.13	44.72	0.36	20.40	1.67
A3065	38.149602	-121.586895	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.66	14.90	23.29	147.24	7.66	7.92	92.88	2.15	1.52	13.92	2.44	16.37	23.34	142.34	0.07	0.84	0.70	1.26	0.00	2.80	30.13	24.98	44.77	0.10	22.56	1.71
A3072	38.150852	-121.593137	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.50	14.30	23.36	147.86	7.67	7.96	93.78	2.19	1.50	14.29	2.47	16.24	23.41	143.33	0.07	0.84	0.69	1.23	0.00	2.77	30.42	23.56	44.43	0.15	21.82	1.66
A3074	38.151311	-121.596487	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.43	13.36	23.44	148.27	7.68	8.00	94.36	2.19	1.58	14.31	2.59	16.11	23.50	143.86	0.07	0.98	0.68	1.35	0.00	3.01	32.58	22.20	44.74	0.13	20.79	1.66
A3063	38.151494	-121.589457	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.61	15.10	23.31	147.26	7.66	7.91	92.71	2.15	1.49	14.14	2.41	16.33	23.35	142.41	0.07	0.82	0.69	1.23	0.01	2.76	29.90	23.66	44.74	0.22	22.72	1.67
A681	38.150670	-121.686748	Western Delta tidal zone	Sacramento River	7/1/2020	10.51	7.19	22.83	152.70	7.84	7.86	91.35	3.54	1.64	17.01	2.63	18.67	22.90	146.12	0.07	0.62	1.05	1.02	0.00	2.68	22.90	39.21	37.99	0.00	17.70	2.00
A3061	38.153644	-121.591808	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.55	15.08	23.33	147.42	7.66	7.91	92.98	2.16	1.46	14.36	2.42	16.31	23.38	142.70	0.07	0.83	0.69	1.23	0.01	2.74	30.15	23.32	44.77	0.21	22.64	1.65
A679	38.153518	-121.685911	Western Delta tidal zone	Sacramento River	7/1/2020	10.31	7.30	22.92	153.09	7.84	7.86	91.54	3.35	1.73	17.01	2.66	18.54	23.00	146.76	0.07	0.70	1.01	1.04	0.00	2.75	25.01	37.11	37.99	0.00	17.61	1.99
A3059	38.156470	-121.591907	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.55	15.37	23.31	147.07	7.65	7.85	92.05	2.15	1.40	14.53	2.34	16.52	23.36	142.19	0.07	0.78	0.69	1.18	0.00	2.64	29.36	19.71	44.83	0.09	22.92	1.64
A3056	38.157562	-121.587212	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.54	15.39	23.30	146.99	7.65	7.84	91.88	2.11	1.43	14.48	2.39	16.64	23.34	142.03	0.07	0.80	0.68	1.21	0.00	2.68	29.68	18.32	45.08	0.08	22.93	1.67
A677	38.156438	-121.685087	Western Delta tidal zone	Sacramento River	7/1/2020	10.02	7.58	23.01	150.85	7.83	7.87	91.74	3.16	1.80	16.92	2.68	18.39	23.09	144.89	0.07	0.79	0.99	1.07	0.00	2.85	27.53	34.89	37.60	0.00	17.60	1.99
A3054	38.160091	-121.585509	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.50	15.19	23.31	147.18	7.65	7.87	92.28	2.10	1.48	14.47	2.44	16.86	23.34	142.19	0.07	0.78	0.69	1.22	0.00	2.69	29.13	18.45	45.57	0.05	22.69	1.72
A675	38.158896	-121.682897	Western Delta tidal zone	Sacramento River	7/1/2020	9.79	7.81	23.05	150.75	7.83	7.88	91.96	3.03	1.82	16.83	2.70	18.29	23.14	144.90	0.07	0.83	0.98	1.08	0.00	2.89	28.60	34.03	37.39	0.00	17.60	1.98
A673	38.160698	-121.679795	Western Delta tidal zone	Sacramento River	7/1/2020	9.77	8.12	23.08	151.29	7.83	7.89	92.17	2.97	1.81	16.72	2.64	18.16	23.18	145.43	0.07	0.84	0.97	1.07	0.00	2.89	29.06	33.61	37.16	0.00	17.89	1.97
A3052	38.162813	-121.584118	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.39	15.05	23.32	147.40	7.65	7.87	92.32	2.08	1.49	14.63	2.44	17.01	23.36	142.36	0.07	0.79	0.69	1.23	0.00	2.71	29.07	19.79	45.55	0.13	22.46	1.76
A625	38.163547	-121.610142	North Delta tidal transition zone	Sacramento River	7/1/2020	6.48	13.55	23.64	147.94	7.73	8.11	95.72	4.07	2.14	14.56	3.31	15.84	23.70	143.90	0.07	1.69	0.82	1.50	0.00	4.02	42.04	20.42	37.44	0.05	20.03	1.69
A628	38.163544	-121.615670	North Delta tidal transition zone	Sacramento River	7/1/2020	6.57	12.87	23.67	148.71	7.74	8.10	95.67	3.92	2.15	14.43	3.34	15.75	23.73	144.72	0.07	1.70	0.83	1.57	0.00	4.10	41.44	20.42	38.23	0.06	19.43	1.65
A623	38.163877	-121.606510	North Delta tidal transition zone	Sacramento River	7/1/2020	6.38	14.04	23.59	147.21	7.72	8.07	95.09	4.25	2.16	14.64	3.34	15.91	23.65	143.05	0.07	1.67	0.81	1.50	0.00	4.01	41.80	20.34	37.55	0.02	20.42	1.72
A630	38.164194	-121.619235	North Delta tidal transition zone	Sacramento River	7/1/2020	6.55	12.56	23.68	148.83	7.74	8.07	95.34	3.64	2.13	14.32	3.31	15.66	23.74	144.95	0.07	1.62	0.82	1.56	0.00	4.00	40.42	20.47	39.01	0.00	19.10	1.64
A621	38.164908	-121.603087	North Delta tidal transition zone	Sacramento River	7/1/2020	6.30	15.09	23.52	146.34	7.70	8.00	94.22	4.53	2.19	14.73	3.40	16.01	23.58	141.98	0.07	1.68	0.82	1.52	0.00	4.03	41.66	20.27	37.72	0.01	21.39	1.76
A671	38.163116	-121.677796	Western Delta tidal zone	Sacramento River	7/1/2020	9.78	8.42	23.12	150.93	7.82	7.90	92.37	2.95	1.79	16.59	2.61	18.03	23.21	145.14	0.07	0.85	0.96	1.07	0.00	2.88	29.37	33.26	37.17	0.00	18.20	1.96
A632	38.165041	-121.622748	North Delta tidal transition zone	Sacramento River	7/1/2020	6.66	12.31	23.71	149.23	7.75	8.06	95.29	3.34	2.09	14.17	3.24	15.52	23.77	145.40	0.07	1.50	0.79	1.50	0.00	3.78	39.50	21.02	39.58	0.00	18.97	1.64
A3050	38.165613	-121.583132	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.30	14.86	23.34	147.61	7.66	7.86	92.27	2.07	1.47	14.87	2.40	17.16	23.38	142.60	0.07	0.76	0.69	1.23	0.00	2.68	28.41	23.15	45.74	0.17	22.18	1.77
A634	38.166171	-121.626153	North Delta tidal transition zone	Sacramento River	7/1/2020	6.70	12.26	23.73	149.41	7.75	8.07	95.38	3.27	2.08	14.05	3.21	15.44	23.80	145.63	0.07	1.45	0.78	1.45	0.00	3.67	39.35	21.21	39.54	0.00	18.96	1.65
A619	38.166432	-121.599938	North Delta tidal transition zone	Sacramento River	7/1/2020	6.25	16.95	23.47	145.40	7.68	7.94	93.44	4.58	2.16	14.79	3.39	16.06	23.54	140.94	0.07	1.63	0.81	1.51	0.00	3.96	41.08	20.34	38.25	0.01	23.20	1.81
A669	38.165792	-121.676228	Western Delta tidal zone	Sacramento River	7/1/2020	9.59	8.81	23.18	149.50	7.82	7.92	92.67	2.90	1.78	16.37	2.62	17.80	23.27	143.99	0.07	0.87	0.94	1.05	0.00	2.87	30.24	32.86	36.77	0.00	18.41	1.95
A636	38.167832	-121.629125	North Delta tidal transition zone	Sacramento River	7/1/2020	6.71	12.04	23.75	149.54	7.75	8.07	95.44	3.35	2.11	13.85	3.23	15.37	23.82	145.88	0.07	1.46	0.79	1.44	0.00	3.68	39.69	21.75	39.03	0.00	18.75	1.66
A3048	38.168295	-121.581824	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.04	14.47	23.37	148.20	7.66	7.83	91.93	2.05	1.44	15.39	2.40	17.51	23.42	143.21	0.07	0.75	0.69	1.22	0.01	2.67	27.96	20.85	45.93	0.30	21.54	1.82
A617	38.168205	-121.597089	North Delta tidal transition zone	Sacramento River	7/1/2020	6.18	18.25	23.45	144.92	7.67	7.92	93.10	4.53	2.14	14.79	3.37	16.06	23.52	140.35	0.07	1.62	0.80	1.51	0.00	3.94	41.10	20.31	38.37	0.01	24.43	1.84
A667	38.168213	-121.674246	Western Delta tidal zone	Sacramento River	7/1/2020	9.38	9.29	23.26	148.81	7.81	7.94	93.05	2.86	1.79	16.05	2.64	17.47	23.35	143.57	0.07	0.93	0.93	1.07	0.00	2.92	31.74	31.78	36.57	0.00	18.67	1.94
A638	38.169999	-121.631504	North Delta tidal transition zone	Sacramento River	7/1/2020	6.70	11.92	23.76	149.42	7.75	8.06	95.35	3.43	2.12	13.78	3.21	15.35	23.82	145.82	0.07	1.46	0.80	1.41	0.00	3.66	39.94	18.60	38.40	0.00	18.62	1.67
A615	38.170578	-121.594959	North Delta tidal transition zone	Sacramento River	7/1/2020	6.10	19.65	23.43	144.42	7.67	7.89	92.80	4.47	2.13	14.78	3.35	16.06	23.49	139.73	0.07	1.62	0.80	1.51	0.00	3.94	41.14	20.22	38.43	0.01	25.75	1.87
A3046	38.170936	-121.580414	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.99	14.28	23.39	148.39	7.66	7.83	91.94	2.04	1.45	15.51	2.40	17.59	23.44	143.50	0.07	0.74	0.69	1.24	0.01	2.68	27.81	21.82	46.29	0.22	21.28	1.83
A640	38.171526	-121.634610	North Delta tidal transition zone	Sacramento River	7/1/2020	6.84	11.79	23.75	149.48	7.75	8.05	95.18	3.36	2.04	13.70	3.11	15.33	23.81	145.78	0.07	1.39	0.80	1.35	0.00	3.54	39.16	19.25	38.19	0.00	18.63	1.68
A665	38.170822	-121.672684	Western Delta tidal zone	Sacramento River	7/1/2020	9.17	9.71	23.35	148.11	7.80	7.96	93.38	2.84	1.79	15.72	2.67	17.14	23.42	143.14	0.07	1.00	0.91	1.08	0.00	2.99	33.35	30.57	36.23	0.00	18.89	1.93
A642	38.172694	-121.637951	North Delta tidal transition zone	Sacramento River	7/1/2020	6.85	11.86	23.73	149.44	7.75	8.04	95.03	3.41	2.03	13.70	3.08	15.33	23.80	145.64	0.07	1.36	0.79	1.33	0.00	3.48	38.88	19.11	38.28	0.00	18.71	1.70
A644	38.172804	-121.641568	North Delta tidal transition zone	Sacramento River	7/1/2020	7.03	12.04	23.71	149.39	7.76	8.04	95.06	3.44	2.02	13.76	3.10	15.34	23.77	145.50	0.07	1.36	0.80	1.34	0.00	3.50	38.76	23.59	38.37	0.00	19.00	1.71
A646	38.172858	-121.645277	North Delta tidal transition zone	Sacramento River	7/1/2020	7.28	12.31	23.69	148.89	7.76	8.05	95.14	3.46	2.00	13.85	3.10	15.31	23.76	145.11	0.07	1.39	0.81	1.35	0.00	3.55	39.19	23.29	37.84	0.00	19.48	1.73
A613	38.173054	-121.593035	North Delta tidal transition zone	Sacramento River	7/1/2020	6.01	20.93	23.40	143.77	7.66	7.88	92.55	4.42	2.12	14.75	3.32	16.04	23.47	139.05	0.07	1.61	0.79	1.51	0.00	3.92	41.09	20.13	38.49	0.03	26.94	1.90
A648	38.173050	-121.648914	North Delta tidal transition zone	Sacramento River	7/1/2020	7.45	12.50	23.69	148.33	7.76	8.05	95.10	3.46	1.95	13.91	3.04	15.27	23.76	144.64	0.07	1.40	0.83	1.31	0.00	3.54	39.64	23.64	36.87	0.00	19.91	1.75
A3044	38.173786	-121.580359	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.93	14.09	23.41	148.68	7.67	7.83	92.03	2.04	1.46	15.53	2.41	17.58	23.45	143.90	0.07	0.76	0.68	1.25	0.01	2.70	28.05	25.19	46.43	0.20	21.01	1.85
A650	38.173849	-121.652425	North Delta tidal transition zone	Sacramento River	7/1/2020	7.57	12.67	23.69	147.25	7.76	8.04	95.01	3.35	1.92	13.90	2.95	15.19	23.76	143.56	0.07	1.37	0.84	1.24	0.00	3.45	39.68	24.47	35.97	0.00	20.23	1.78
A663	38.173097	-121.670531	Western Delta tidal zone	Sacramento River	7/1/2020	8.97	10.05	23.43	147.48	7.79	7.96	93.61	2.87	1.79	15.36	2.69	16.74	23.50	142.63	0.07	1.07	0.89	1.10	0.00	3.05	34.87	29.33	36.07	0.00	19.02	1.91
A652	38.175012	-121.655747	North Delta tidal transition zone	Sacramento River	7/1/2020	7.59	12.64	23.69	146.99	7.76	8.03	94.88	3.32	1.91	13.89	2.93	15.16	23.76	143.27	0.07	1.36	0.85	1.23	0.00	3.44	39.42	24.84	35.83	0.00	20.22	1.79
A611	38.175641	-121.591434	North Delta tidal transition zone	Sacramento River	7/1/2020	5.91	21.81	23.39	142.97	7.66	7.86	92.36	4.39	2.10	14.68	3.29	15.96	23.45	138.31	0.07	1.59	0.78	1.50	0.00	3.88	40.99	20.13	38.63	0.07	27.73	1.93
A654	38.175767	-121.659425	North Delta tidal transition zone	Sacramento River	7/1/2020	7.66	12.46	23.69	146.21	7.76	8.01	94.58	3.26	1.91	13.83	2.91	15.07	23.76	142.38	0.07	1.35	0.87	1.23	0.00	3.45	39.14	25.23	35.73	0.00	20.11	1.82
A661	38.175172	-121.668093	Western Delta tidal zone	Sacramento River	7/1/2020	8.55	10.89	23.58	146.81	7.78	7.98	94.05	2.99	1.82	14.59	2.77	15.89	23.66	142.18	0.07	1.21	0.88	1.15	0.00	3.23	37.33	27.24	35.77	0.00	19.45	1.88
A3042	38.176626	-121.580182	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.92	14.21	23.41	148.69	7.67	7.84	92.10	2.03	1.43	15.36	2.38	17.40	23.45	143.96	0.07	0.75	0.68	1.24	0.01	2.68	28.13	25.68	46.11	0.29	21.14	1.85
A609	38.178205	-121.589736	North Delta tidal transition zone	Sacramento River	7/1/2020	5.73	22.28	23.38	141.81	7.66	7.85	92.19	4.34	2.09	14.54	3.24	15.80	23.45	137.16	0.07	1.57	0.77	1.48	0.00	3.82	41.08	20.28	38.69	0.09	28.01	1.97
A3040	38.179348	-121.578958	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.91	14.28	23.41	148.72	7.67	7.84	92.17	2.02	1.40	15.25	2.34	17.28	23.45	143.99	0.07	0.74	0.69	1.22	0.01	2.65	27.89	26.00	45.94	0.29	21.19	1.85
A607	38.180667	-121.587745	North Delta tidal transition zone	Sacramento River	7/1/2020	5.63	22.23	23.37	141.24	7.66	7.85	92.18	4.27	2.06	14.46	3.19	15.72	23.44	136.54	0.07	1.55	0.77	1.45	0.00	3.76	41.10	20.46	38.60	0.08	27.86	1.98
A3038	38.181496	-121.576780	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.88	14.68	23.41	148.59	7.67	7.85	92.23	1.99	1.35	15.05	2.27	17.06	23.45	143.94	0.07	0.70	0.69	1.17	0.01	2.57	27.36	27.10	45.50	0.22	21.56	1.85
A3036	38.181795	-121.573159	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.86	15.74	23.39	148.16	7.66	7.83	91.94	1.99	1.32	14.76	2.20	16.75	23.44	143.60	0.07	0.68	0.69	1.13	0.00	2.50	27.07	27.72	45.25	0.14	22.59	1.85
A3034	38.182638	-121.569699	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.74	16.63	23.37	147.58	7.65	7.80	91.56	2.02	1.30	14.60	2.16	16.59	23.42	143.04	0.07	0.69	0.68	1.13	0.01	2.51	27.65	27.31	44.92	0.29	23.38	1.85
A605	38.183153	-121.585874	North Delta tidal transition zone	Sacramento River	7/1/2020	5.70	21.41	23.37	141.31	7.66	7.85	92.22	4.01	2.00	14.46	3.08	15.77	23.44	136.61	0.07	1.46	0.76	1.42	0.00	3.64	39.96	20.94	39.20	0.05	27.11	1.98
A3032	38.184307	-121.566739	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.61	17.32	23.34	146.93	7.64	7.78	91.30	2.03	1.28	14.55	2.11	16.55	23.39	142.43	0.07	0.68	0.67	1.11	0.01	2.48	27.54	27.25	44.73	0.26	23.93	1.85
A3030	38.185694	-121.563553	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.45	17.97	23.31	145.83	7.63	7.76	90.95	2.07	1.26	14.52	2.06	16.47	23.36	141.31	0.07	0.64	0.67	1.07	0.01	2.39	26.87	27.98	44.86	0.40	24.41	1.86
A603	38.185448	-121.583623	North Delta tidal transition zone	Sacramento River	7/1/2020	5.65	21.03	23.37	140.76	7.66	7.86	92.32	3.94	1.99	14.39	3.04	15.69	23.43	136.07	0.07	1.43	0.75	1.41	0.00	3.59	39.56	21.15	39.37	0.00	26.69	1.97
A3028	38.186976	-121.560319	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.40	18.28	23.28	145.04	7.63	7.75	90.80	2.09	1.25	14.49	2.02	16.43	23.34	140.48	0.07	0.61	0.67	1.05	0.01	2.33	26.11	28.44	45.22	0.36	24.68	1.87
A601	38.187492	-121.581012	North Delta tidal transition zone	Sacramento River	7/1/2020	5.56	20.58	23.37	140.15	7.66	7.87	92.43	3.95	2.01	14.31	3.05	15.60	23.43	135.39	0.07	1.43	0.76	1.40	0.00	3.59	39.35	21.30	39.28	0.01	26.15	1.96
A3026	38.189194	-121.557958	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.29	18.40	23.24	143.54	7.62	7.74	90.63	2.10	1.23	14.41	1.97	16.35	23.29	139.06	0.07	0.57	0.67	1.01	0.00	2.25	25.41	27.96	45.18	0.20	24.69	1.89
A599	38.189177	-121.578054	North Delta tidal transition zone	Sacramento River	7/1/2020	5.26	20.04	23.35	138.60	7.67	7.89	92.57	4.18	2.10	14.14	3.17	15.35	23.40	133.71	0.07	1.50	0.77	1.45	0.00	3.73	40.32	20.67	38.93	0.00	25.30	1.95
A597	38.190383	-121.574700	North Delta tidal transition zone	Sacramento River	7/1/2020	5.20	19.38	23.34	138.23	7.67	7.90	92.68	4.17	2.09	14.09	3.18	15.30	23.39	133.32	0.07	1.49	0.77	1.46	0.00	3.72	40.01	20.72	39.28	0.00	24.58	1.94
A3024	38.190953	-121.555073	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.17	18.33	23.19	142.39	7.61	7.73	90.47	2.14	1.22	14.36	1.95	16.28	23.25	137.91	0.07	0.56	0.67	0.99	0.00	2.21	25.38	23.48	44.84	0.11	24.51	1.90
A595	38.191553	-121.571382	North Delta tidal transition zone	Sacramento River	7/1/2020	5.46	18.37	23.33	139.44	7.67	7.89	92.64	3.76	1.94	14.13	2.99	15.48	23.39	134.59	0.07	1.33	0.75	1.39	0.00	3.46	37.94	21.82	40.35	0.02	23.83	1.92
A593	38.192615	-121.567915	North Delta tidal transition zone	Sacramento River	7/1/2020	5.39	17.87	23.33	138.93	7.67	7.90	92.65	3.78	1.94	14.10	2.99	15.43	23.39	134.17	0.07	1.33	0.75	1.38	0.00	3.45	37.91	21.95	40.37	0.04	23.26	1.91
A3022	38.192788	-121.552238	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.10	18.11	23.15	141.33	7.61	7.72	90.30	2.19	1.22	14.32	1.96	16.23	23.20	136.67	0.07	0.56	0.67	0.98	0.00	2.20	25.63	17.52	44.33	0.05	24.21	1.90
A591	38.193667	-121.564457	North Delta tidal transition zone	Sacramento River	7/1/2020	5.41	17.62	23.33	139.45	7.66	7.88	92.46	3.65	1.88	14.13	2.90	15.52	23.39	134.72	0.07	1.28	0.74	1.36	0.00	3.37	37.00	22.47	40.74	0.07	23.03	1.90
A3020	38.194646	-121.549486	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.91	17.65	23.09	139.99	7.61	7.72	90.16	2.24	1.23	14.17	1.96	16.12	23.14	135.02	0.07	0.53	0.67	0.98	0.00	2.18	24.14	11.24	45.09	0.03	23.56	1.90
A589	38.195506	-121.561679	North Delta tidal transition zone	Sacramento River	7/1/2020	5.22	17.23	23.32	138.47	7.66	7.89	92.51	3.92	1.97	14.09	3.02	15.41	23.39	133.81	0.07	1.38	0.75	1.41	0.00	3.53	38.03	21.89	40.41	0.00	22.44	1.90
A3018	38.196681	-121.546971	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.77	17.46	23.06	139.33	7.61	7.72	90.14	2.26	1.24	14.05	1.95	16.06	23.10	134.19	0.07	0.51	0.67	0.98	0.00	2.16	23.57	18.22	45.24	0.01	23.24	1.89
A587	38.197909	-121.559637	North Delta tidal transition zone	Sacramento River	7/1/2020	5.05	16.67	23.35	137.53	7.67	7.91	92.85	4.37	2.13	14.06	3.30	15.24	23.42	132.85	0.07	1.59	0.78	1.52	0.00	3.87	41.00	20.04	39.19	0.00	21.64	1.89
