CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A4449	38.023060	-121.562472	Central Delta tidal zone	Old River	7/1/2020	1.44	0.71	23.67	355.61	8.68	8.54	100.89	2.78	2.68	22.89	4.50	24.85	23.69	354.55	0.18	1.14	4.71	2.20	0.08	8.17	14.00	56.93	26.90	0.96	2.14	2.14
A3722	38.024834	-121.467165	Central Delta tidal zone	San Joaquin River	7/1/2020	9.05	0.56	24.20	206.75	8.02	8.32	99.21	3.07	3.18	31.35	6.57	34.63	24.24	206.69	0.10	1.03	7.24	2.98	0.01	11.29	9.10	64.20	26.29	0.09	9.61	2.45
A4447	38.025825	-121.563758	Central Delta tidal zone	Old River	7/1/2020	1.41	0.65	23.60	367.31	8.75	8.57	101.07	2.70	2.54	22.38	4.30	24.41	23.62	361.86	0.18	1.10	4.51	2.03	0.12	7.79	14.19	57.91	26.00	1.57	2.06	2.12
A3720	38.026420	-121.470248	Central Delta tidal zone	San Joaquin River	7/1/2020	8.09	0.42	24.11	199.89	8.01	8.31	98.99	3.07	3.31	31.00	6.94	34.25	24.15	198.89	0.10	0.99	7.17	3.47	0.01	11.68	8.52	61.40	29.67	0.06	8.51	2.20
A4445	38.028747	-121.563517	Central Delta tidal zone	Old River	7/1/2020	1.47	0.62	23.57	370.75	8.78	8.57	101.11	2.70	2.49	22.30	4.24	24.39	23.59	362.18	0.18	1.12	4.49	1.97	0.12	7.72	14.49	58.29	25.44	1.60	2.09	2.12
A3715	38.035951	-121.474459	Central Delta tidal zone	San Joaquin River	7/1/2020	6.93	0.48	23.89	196.08	8.03	8.39	99.63	3.19	4.06	30.23	8.10	33.30	23.93	191.64	0.10	0.78	6.42	4.85	0.00	11.98	6.54	53.34	40.73	0.00	7.41	1.93
A4443	38.030574	-121.565647	Central Delta tidal zone	Old River	7/1/2020	1.47	0.58	23.50	375.87	8.81	8.59	101.21	2.67	2.42	22.06	4.14	24.09	23.53	366.30	0.19	1.16	4.33	1.84	0.10	7.45	15.62	58.10	24.67	1.35	2.05	2.11
A4441	38.030051	-121.569037	Central Delta tidal zone	Old River	7/1/2020	1.38	0.55	23.44	382.16	8.85	8.63	101.47	2.58	2.36	21.61	4.06	23.50	23.44	373.77	0.19	1.19	4.07	1.73	0.06	7.05	16.82	57.42	24.47	0.91	1.93	2.11
A4439	38.031337	-121.571215	Central Delta tidal zone	Old River	7/1/2020	1.40	0.53	23.40	385.07	8.87	8.64	101.51	2.56	2.34	21.45	4.03	23.34	23.40	375.64	0.19	1.17	4.03	1.71	0.04	6.95	16.78	57.56	24.50	0.58	1.92	2.11
A4437	38.034001	-121.570714	Central Delta tidal zone	Old River	7/1/2020	1.44	0.50	23.28	386.14	8.87	8.60	100.92	2.62	2.23	21.40	3.84	23.35	23.30	375.23	0.19	1.07	3.97	1.59	0.03	6.66	16.02	59.64	23.77	0.38	1.94	2.09
A4435	38.036802	-121.570243	Central Delta tidal zone	Old River	7/1/2020	1.49	0.48	23.22	387.49	8.87	8.59	100.62	2.65	2.17	21.29	3.73	23.27	23.26	375.81	0.19	1.02	3.91	1.55	0.02	6.50	15.61	60.12	23.81	0.27	1.99	2.08
A4404	38.046765	-121.582058	Central Delta tidal zone	Old River	7/1/2020	2.02	0.19	23.25	389.49	8.88	8.69	101.94	2.72	2.09	20.46	4.03	22.43	23.29	375.82	0.19	1.19	3.66	1.74	0.06	6.66	17.77	54.99	26.07	0.85	2.26	2.02
A4433	38.039629	-121.570690	Central Delta tidal zone	Old River	7/1/2020	1.57	0.47	23.19	389.03	8.87	8.58	100.48	2.67	2.12	21.16	3.65	23.14	23.24	376.89	0.19	1.00	3.81	1.52	0.01	6.35	15.72	60.05	24.00	0.15	2.05	2.07
A3695	38.037566	-121.493602	Central Delta tidal zone	San Joaquin River	7/1/2020	6.38	0.56	23.66	197.46	8.07	8.45	99.76	3.37	4.65	28.65	9.27	31.64	23.70	192.09	0.10	0.43	6.22	5.72	0.00	12.31	3.50	50.57	46.49	0.00	6.96	1.74
A4431	38.042111	-121.572377	Central Delta tidal zone	Old River	7/1/2020	1.77	0.38	23.20	392.06	8.87	8.61	100.80	2.64	2.11	20.74	3.68	22.73	23.26	378.77	0.19	1.05	3.62	1.60	0.04	6.33	16.63	57.27	25.16	0.65	2.16	2.05
A3692	38.040300	-121.497801	Central Delta tidal zone	San Joaquin River	7/1/2020	6.19	0.46	23.57	198.04	8.09	8.51	100.24	3.43	4.90	27.64	9.82	30.68	23.60	192.28	0.10	0.38	6.69	6.36	0.00	13.41	2.88	49.84	47.39	0.00	6.66	1.80
A3690	38.043519	-121.499796	Central Delta tidal zone	San Joaquin River	7/1/2020	6.25	0.36	23.56	198.02	8.10	8.52	100.43	3.41	5.09	27.33	10.01	30.55	23.59	192.28	0.10	0.36	6.68	6.59	0.00	13.59	2.73	49.02	48.49	0.00	6.62	1.84
A4429	38.043409	-121.575464	Central Delta tidal zone	Old River	7/1/2020	1.80	0.35	23.23	391.97	8.88	8.63	101.17	2.64	2.16	20.62	3.81	22.57	23.31	378.32	0.19	1.14	3.57	1.68	0.09	6.50	17.41	55.16	25.86	1.40	2.17	2.05
A4427	38.044622	-121.578735	Central Delta tidal zone	Old River	7/1/2020	1.93	0.27	23.29	390.27	8.88	8.69	101.91	2.67	2.17	20.45	4.06	22.39	23.35	376.71	0.19	1.25	3.57	1.80	0.12	6.76	18.56	52.90	26.64	1.74	2.22	2.03
A3687	38.044633	-121.503917	Central Delta tidal zone	San Joaquin River	7/1/2020	6.40	0.26	23.54	198.29	8.10	8.52	100.37	3.32	5.02	26.94	9.67	30.41	23.57	192.62	0.10	0.37	6.06	6.42	0.00	12.81	2.97	47.18	50.26	0.00	6.66	1.86
A4382	38.046561	-121.499795	Central Delta tidal zone	Little Connection Slough	7/1/2020	6.42	0.34	23.58	197.36	8.10	8.53	100.54	3.32	5.31	27.35	10.05	30.85	23.61	191.81	0.10	0.43	6.00	6.50	0.00	12.89	3.38	46.51	50.40	0.00	6.79	1.86
A3685	38.048302	-121.504216	Central Delta tidal zone	San Joaquin River	7/1/2020	6.35	0.32	23.50	198.36	8.11	8.51	100.23	3.31	5.18	27.07	9.63	30.47	23.54	192.20	0.10	0.42	5.70	6.31	0.00	12.38	3.39	46.01	50.90	0.00	6.76	1.86
A4402	38.049693	-121.581700	Central Delta tidal zone	Old River	7/1/2020	2.10	0.09	23.22	388.59	8.88	8.69	101.93	2.74	2.06	20.48	3.94	22.44	23.27	373.42	0.19	1.15	3.69	1.71	0.03	6.60	17.34	55.99	25.75	0.47	2.32	2.01
A4923	38.049909	-121.628634	Central Delta tidal zone	False River	7/1/2020	5.98	0.25	22.65	526.77	8.24	8.56	99.25	3.29	1.68	19.39	3.49	21.16	22.72	505.33	0.25	0.85	4.24	1.41	0.01	6.52	12.97	65.00	15.64	0.17	5.60	2.04
