CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A4383	38.072749	-121.571510	Central Delta tidal zone	Old River	10/1/2020	16.46	2.65	20.64	391.03	7.86	8.17	91.11	3.32	1.96	22.52	3.32	24.08	20.65	357.19	0.19	1.62	1.43	0.05	4.12	39.93	34.79	1.11	19.11	1.89	2.27
A3494	38.081580	-121.681090	Central Delta tidal zone	San Joaquin River	10/1/2020	14.92	1.40	20.75	1578.16	7.91	8.26	92.65	3.68	2.16	20.81	3.48	21.95	20.80	1444.09	0.79	1.46	1.52	0.06	4.22	34.80	36.07	1.40	16.31	1.80	2.65
A1017	38.082218	-122.076685	Suisun Bay	Suisun Bay	10/1/2020	19.84	2.91	20.76	12194.72	7.94	8.23	95.77	4.93	4.00	22.65	6.16	23.38	20.82	26384.40	17.72	0.52	4.11	0.52	7.21	7.28	56.99	7.18	22.75	1.90	3.37
A3622	38.093158	-121.576492	Central Delta tidal zone	San Joaquin River	10/1/2020	16.91	2.27	20.50	420.56	7.85	8.15	90.64	4.08	1.83	21.90	3.10	23.48	20.51	389.91	0.21	1.64	1.33	0.00	3.74	44.02	35.55	0.06	19.18	1.86	2.31
A1101	38.110520	-122.004587	Suisun Bay	Grizzly Bay	10/1/2020	20.76	2.87	20.59	9948.24	7.98	8.48	98.42	6.53	3.15	24.82	4.86	25.78	20.63	18491.96	12.07	0.86	2.79	0.08	5.49	16.11	51.03	1.35	23.63	2.03	3.26
A1110	38.115222	-122.022760	Suisun Bay	Grizzly Bay	10/1/2020	20.85	3.40	20.80	9750.86	7.96	8.39	97.82	6.20	3.25	24.87	4.78	25.78	20.86	19648.47	12.83	0.79	2.47	0.08	4.84	2.49	50.94	1.51	24.25	2.03	3.22
A1084	38.128504	-122.006270	Suisun Bay	Grizzly Bay	10/1/2020	20.26	2.02	20.90	9567.71	8.01	8.64	100.80	6.23	4.68	24.53	7.07	25.39	20.92	18875.78	12.26	0.89	3.56	0.22	7.41	12.24	48.16	2.86	22.25	2.01	3.22
A2367	38.239136	-121.682376	Cache Slough complex	Prospect Slough	10/1/2020	11.23	3.29	20.12	159.41	7.97	8.84	97.45	3.02	1.47	19.32	2.65	20.66	20.14	145.01	0.08	2.42	0.34	1.27	4.14	58.39	8.40	30.71	14.52	1.72	2.95
A2424	38.275184	-121.696694	Cache Slough complex	Shag Slough	10/1/2020	8.33	2.62	20.24	165.20	8.13	9.22	101.82	2.51	1.64	20.86	2.86	23.10	20.27	151.54	0.08	2.10	0.23	1.53	4.27	49.29	5.27	35.92	10.03	1.80	3.47
A2334	38.282757	-121.664367	Cache Slough complex	Prospect Slough	10/1/2020	4.38	1.27	20.95	172.88	8.51	9.37	104.97	2.61	1.45	24.08	2.53	25.26	20.96	160.20	0.08	1.71	0.57	0.71	3.00	56.88	18.98	23.63	5.65	1.98	3.49
A2328	38.291745	-121.665903	Cache Slough complex	Prospect Slough	10/1/2020	2.56	0.94	21.20	176.00	8.65	9.69	109.10	2.54	1.49	25.21	2.64	26.48	21.22	163.61	0.09	1.72	0.61	0.69	3.03	56.81	20.24	23.04	3.51	2.05	3.47
A4616	37.852770	-121.561907	South Delta tidal transition zone	Old River	10/1/2020	17.81	1.81	21.86	491.53	7.71	7.76	88.56	2.44	3.36	34.15	5.32	35.35	21.91	470.00	0.24	1.88	2.02	0.38	6.96	26.99	28.90	5.40	18.74	2.55	2.73
A4613	37.856540	-121.564456	South Delta tidal transition zone	Old River	10/1/2020	19.03	1.85	21.84	472.98	7.73	7.85	89.66	2.45	3.47	34.54	5.47	35.74	21.88	450.34	0.23	1.92	2.08	0.39	7.15	27.00	29.07	5.45	19.76	2.60	2.54
A4624	37.858573	-121.554089	South Delta tidal transition zone	Old River	10/1/2020	24.62	1.61	21.98	393.27	7.74	8.04	92.00	2.09	3.44	36.11	5.37	37.22	22.05	373.52	0.19	1.72	2.00	0.40	7.08	24.50	29.87	5.68	19.83	2.67	2.95
A5831	37.881917	-121.506571	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.69	0.25	21.88	378.19	7.72	7.80	89.13	1.95	3.15	36.34	4.91	37.20	21.92	358.30	0.18	1.79	1.88	0.37	6.44	27.78	29.19	5.73	26.94	2.68	2.84
A5117	37.906662	-121.505064	South Delta tidal transition zone	Middle River	10/1/2020	27.90	1.35	21.88	375.55	7.71	7.77	88.75	1.77	2.75	36.23	4.34	37.03	21.91	355.63	0.18	1.67	1.56	0.32	5.52	30.31	28.25	5.76	29.26	2.67	3.18
A5113	37.907368	-121.511288	South Delta tidal transition zone	Middle River	10/1/2020	27.75	1.33	21.92	379.12	7.72	7.83	89.51	1.78	2.83	36.11	4.43	36.75	21.95	358.40	0.18	1.67	1.65	0.39	5.68	29.33	29.00	6.88	29.08	2.67	3.15
A5067	37.950106	-121.533520	South Delta tidal transition zone	Middle River	10/1/2020	27.71	1.33	22.07	366.08	7.77	7.91	90.54	1.44	2.64	33.21	4.32	34.23	22.04	347.32	0.19	1.50	1.85	0.40	5.57	26.93	33.18	7.08	29.06	2.50	3.06
A3836	37.951555	-121.336346	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	168.85	2.68	20.86	584.16	7.92	8.66	97.02	3.83	5.36	34.46	8.00	38.28	20.89	543.27	0.29	2.32	3.97	0.55	10.45	25.43	38.43	5.03	172.68	2.57	9.21
A3833	37.952834	-121.341639	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	175.31	2.50	20.94	614.12	7.87	8.54	95.80	3.54	4.21	34.57	6.60	38.31	20.98	578.96	0.31	2.30	2.98	0.79	8.43	27.97	35.93	8.73	177.69	2.58	9.48
A5052	37.969344	-121.531915	South Delta tidal transition zone	Middle River	10/1/2020	37.04	1.23	21.97	368.56	7.77	7.96	91.09	1.57	2.92	34.88	4.69	35.80	22.00	348.60	0.18	1.68	1.90	0.41	6.22	23.51	30.34	6.43	38.27	2.60	3.05
A5652	37.971580	-121.509407	South Delta tidal transition zone	Empire Cut	10/1/2020	64.08	1.53	22.11	393.15	7.75	7.93	90.96	1.85	3.08	38.84	4.90	40.67	22.10	376.62	0.19	1.68	1.85	0.43	6.11	27.27	30.43	6.97	65.62	2.82	3.70
A5503	37.972807	-121.577286	South Delta tidal transition zone	Rock Slough	10/1/2020	5.70	0.74	21.88	596.17	7.81	7.79	88.85	2.23	2.66	25.57	4.13	26.03	21.93	570.28	0.29	1.54	1.88	0.38	5.45	28.35	33.70	6.93	6.40	2.07	2.10
A5501	37.972546	-121.581034	South Delta tidal transition zone	Rock Slough	10/1/2020	5.43	0.87	21.91	601.00	7.82	7.82	89.25	2.25	2.56	25.37	4.02	25.83	21.98	576.52	0.30	1.56	1.82	0.35	5.34	29.10	28.07	5.52	6.16	2.06	2.09
A5630	37.975780	-121.514527	South Delta tidal transition zone	Latham Slough	10/1/2020	52.01	1.48	22.26	376.22	7.80	8.28	95.27	1.70	3.04	37.02	4.88	38.59	22.29	360.38	0.18	1.68	2.00	0.48	6.24	26.86	32.02	7.76	53.49	2.72	3.34
A4495	37.992881	-121.577910	South Delta tidal transition zone	Old River	10/1/2020	4.92	0.75	21.98	609.49	7.83	7.84	89.76	1.75	2.73	24.69	4.18	25.18	22.02	583.85	0.29	1.44	1.87	0.41	5.46	26.53	34.64	7.65	5.70	2.02	2.07
A3771	37.993339	-121.435155	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	168.05	2.67	21.46	596.37	7.74	7.27	82.42	4.50	2.43	40.18	4.05	44.97	21.46	569.94	0.30	1.90	1.62	0.12	4.61	41.27	35.20	1.98	170.78	2.90	8.83
A3784	37.993899	-121.412254	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	190.97	2.51	21.55	680.29	7.75	7.45	84.62	4.38	2.51	39.98	4.09	44.67	21.57	644.26	0.34	1.88	1.81	0.19	4.81	38.57	37.57	3.20	198.86	2.87	9.83
A3776	37.995205	-121.426432	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	178.42	2.71	21.48	629.23	7.74	7.36	83.51	4.76	2.42	40.26	4.05	45.15	21.48	600.24	0.31	1.92	1.65	0.13	4.65	42.36	35.47	2.84	182.07	2.89	9.14
A3780	37.995390	-121.419244	San Joaquin tidal transition zone	San Joaquin River	10/1/2020	182.48	2.58	21.49	644.98	7.75	7.39	83.87	4.70	2.48	40.26	4.06	45.13	21.49	612.10	0.32	1.94	1.73	0.15	4.75	31.91	36.51	2.36	192.90	2.88	9.53
A5288	37.997837	-121.409164	San Joaquin tidal transition zone	Fourteenmile Slough	10/1/2020	199.36	2.21	21.61	716.33	7.75	7.52	85.63	4.02	2.41	39.75	3.95	44.14	21.61	671.92	0.35	1.73	1.79	0.09	4.52	38.29	39.55	1.84	201.37	2.87	9.84
A5011	37.998936	-121.513803	Central Delta tidal zone	Middle River	10/1/2020	20.66	1.14	21.51	340.24	7.75	7.88	89.36	1.83	2.31	31.76	3.82	32.74	21.54	320.56	0.16	1.68	1.33	0.11	4.51	37.39	29.59	2.47	21.80	2.42	2.58
A5275	38.004984	-121.402370	San Joaquin tidal transition zone	Fourteenmile Slough	10/1/2020	201.21	2.11	21.55	725.63	7.75	7.57	85.96	3.21	2.31	39.86	3.78	43.99	21.55	678.35	0.35	1.67	1.73	0.10	4.38	38.50	39.48	2.28	203.37	2.88	9.67
A5007	38.004826	-121.513100	Central Delta tidal zone	Middle River	10/1/2020	18.81	1.35	21.42	336.03	7.68	7.75	87.68	1.87	2.17	30.99	3.63	32.25	21.45	315.46	0.16	1.69	1.25	0.20	4.52	34.83	27.48	4.17	20.16	2.38	2.54
A5272	38.006860	-121.397384	San Joaquin tidal transition zone	Fourteenmile Slough	10/1/2020	200.74	2.06	21.49	725.64	7.75	7.57	85.95	3.03	2.28	39.86	3.78	43.99	21.49	675.41	0.35	1.64	1.69	0.12	4.31	35.47	39.01	1.96	200.04	2.88	9.52
A4479	38.008716	-121.579492	Central Delta tidal zone	Old River	10/1/2020	5.20	0.63	21.92	614.28	7.85	7.85	89.81	1.67	2.64	25.04	3.99	25.32	21.96	586.69	0.30	1.40	1.80	0.41	4.90	28.68	36.84	8.28	5.84	2.04	2.06
A5264	38.012329	-121.384613	San Joaquin tidal transition zone	Fourteenmile Slough	10/1/2020	182.82	1.44	21.36	694.16	7.70	7.40	83.70	3.07	2.61	41.01	4.14	45.55	21.36	632.01	0.33	1.62	1.65	0.09	4.55	35.55	36.46	1.88	180.04	2.94	9.08
A5582	38.016754	-121.581872	Central Delta tidal zone	Holland Cut	10/1/2020	5.14	0.60	21.94	619.61	7.86	7.88	90.16	1.42	2.48	24.65	3.85	25.06	21.97	592.68	0.31	1.38	1.87	0.42	4.88	28.37	38.24	8.61	5.75	2.02	2.08
A4848	38.020670	-121.516135	Central Delta tidal zone	Columbia Cut	10/1/2020	18.29	1.44	21.34	331.59	7.69	7.88	89.01	2.07	2.31	30.49	3.89	31.91	21.40	310.48	0.16	1.69	1.33	0.23	4.61	18.70	28.43	3.98	19.73	2.34	2.51
A3602	38.020773	-121.803690	Western Delta tidal zone	San Joaquin River	10/1/2020	16.41	2.26	20.38	6909.93	7.81	8.03	91.02	5.29	2.18	23.35	3.50	26.07	20.39	6299.24	3.80	1.11	2.01	0.00	3.77	26.09	53.27	0.00	18.68	1.94	2.82
A3600	38.021279	-121.800030	Western Delta tidal zone	San Joaquin River	10/1/2020	16.42	2.30	20.40	6922.07	7.81	8.04	91.13	5.03	2.12	23.41	3.46	26.12	20.42	6405.42	3.87	1.11	1.97	0.00	3.72	17.56	53.00	0.00	18.71	1.95	2.80
A3598	38.021301	-121.796260	Western Delta tidal zone	San Joaquin River	10/1/2020	16.43	2.32	20.41	6961.83	7.81	8.04	91.14	4.97	2.11	23.44	3.44	26.15	20.43	6454.11	3.90	1.11	1.96	0.00	3.70	11.39	53.02	0.00	18.75	1.95	2.79
A3579	38.023986	-121.793352	Western Delta tidal zone	San Joaquin River	10/1/2020	16.39	2.38	20.42	7028.23	7.81	8.04	91.23	4.88	2.15	23.44	3.51	26.13	20.44	6477.67	3.91	1.11	1.97	0.00	3.74	16.72	52.82	0.03	18.76	1.95	2.78
A3577	38.024397	-121.789742	Western Delta tidal zone	San Joaquin River	10/1/2020	16.41	2.41	20.42	6962.80	7.82	8.06	91.46	4.52	2.18	23.44	3.55	26.09	20.44	6374.16	3.85	1.11	2.00	0.00	3.77	17.28	53.11	0.01	18.82	1.95	2.76
A3575	38.024892	-121.786120	Western Delta tidal zone	San Joaquin River	10/1/2020	16.47	2.44	20.42	6869.90	7.83	8.08	91.59	4.27	2.18	23.39	3.55	26.03	20.44	6268.88	3.78	1.11	2.01	0.00	3.78	23.84	53.06	0.09	18.90	1.95	2.73
A3620	38.027478	-121.831348	Western Delta tidal zone	San Joaquin River	10/1/2020	17.37	2.38	20.24	8468.41	7.84	8.23	93.52	5.32	2.75	23.15	4.33	25.87	20.26	7772.81	4.78	0.95	2.73	0.06	4.76	18.18	57.19	1.33	19.75	1.93	2.86
A4047	38.027016	-121.836707	Western Delta tidal zone	New York Slough	10/1/2020	17.60	2.44	20.22	8725.17	7.86	8.26	93.89	5.51	2.97	23.15	4.54	25.86	20.25	7770.48	4.78	0.91	2.93	0.09	4.95	18.75	59.19	1.70	20.04	1.93	2.86
A5247	38.028465	-121.403406	Central Delta tidal zone	Fourteenmile Slough	10/1/2020	34.17	1.00	21.19	325.70	8.00	8.77	98.81	1.96	3.14	38.08	4.94	41.73	21.22	289.07	0.15	1.95	1.72	0.00	6.53	29.85	22.81	0.00	35.18	2.78	3.65
A5573	38.029807	-121.583559	Central Delta tidal zone	Holland Cut	10/1/2020	4.81	0.74	21.83	642.58	7.85	7.83	89.40	1.20	2.18	24.45	3.41	24.80	21.87	612.49	0.32	1.27	1.63	0.32	4.31	30.09	37.85	7.33	5.55	2.00	2.13
A3581	38.023744	-121.764353	Western Delta tidal zone	San Joaquin River	10/1/2020	16.08	2.36	20.50	6077.81	7.84	8.16	92.47	4.51	2.16	23.18	3.52	25.78	20.52	5461.51	3.25	1.19	1.85	0.00	3.74	31.04	49.18	0.14	18.44	1.93	2.55
A4416	38.032217	-121.579260	Central Delta tidal zone	Old River	10/1/2020	4.87	0.67	21.76	644.45	7.89	7.99	91.11	1.23	2.12	24.63	3.23	24.80	21.83	615.62	0.32	1.29	1.49	0.29	3.88	33.75	38.84	7.62	5.46	2.02	2.13
A3570	38.031534	-121.778737	Western Delta tidal zone	San Joaquin River	10/1/2020	16.35	2.39	20.34	6478.20	7.81	7.97	90.15	4.81	2.10	22.93	3.37	25.53	20.35	5865.67	3.53	1.15	1.87	0.00	3.66	31.12	51.16	0.12	18.74	1.92	2.70
A3572	38.029155	-121.781691	Western Delta tidal zone	San Joaquin River	10/1/2020	16.43	2.42	20.38	6639.04	7.82	8.03	90.90	4.50	2.13	23.10	3.45	25.73	20.39	5986.88	3.60	1.13	1.93	0.00	3.74	29.62	51.64	0.13	18.85	1.93	2.71
A4021	38.032108	-121.830429	Western Delta tidal zone	Broad Slough	10/1/2020	17.52	2.42	20.23	8595.73	7.85	8.25	93.77	5.34	2.89	23.15	4.50	25.85	20.25	7814.31	4.80	0.94	2.85	0.07	4.90	19.12	58.27	1.26	19.94	1.93	2.86
A4023	38.034043	-121.833273	Western Delta tidal zone	Broad Slough	10/1/2020	17.78	2.46	20.24	9087.29	7.84	8.23	93.72	5.71	3.03	23.21	4.66	25.95	20.26	8179.17	5.05	0.91	2.94	0.08	4.95	18.36	59.48	1.39	20.24	1.93	2.86
A3696	38.035150	-121.492807	Central Delta tidal zone	San Joaquin River	10/1/2020	23.56	1.87	20.79	326.79	7.77	7.56	84.56	3.14	2.25	31.07	3.69	33.72	20.80	301.83	0.16	1.72	1.37	0.02	4.00	40.89	34.15	0.51	25.48	2.39	2.99
A4025	38.035961	-121.835716	Western Delta tidal zone	Broad Slough	10/1/2020	18.00	2.51	20.26	9655.82	7.83	8.18	93.41	5.85	3.13	23.33	4.80	26.08	20.27	8721.67	5.40	0.89	2.96	0.09	4.93	18.07	59.95	1.71	20.51	1.94	2.86
A4801	38.039026	-121.440174	Central Delta tidal zone	Disappointment Slough	10/1/2020	12.64	1.27	21.10	234.37	7.70	7.77	87.34	1.61	2.37	34.36	3.86	37.36	21.12	218.17	0.12	1.70	1.31	0.04	4.60	37.99	28.38	0.86	13.91	2.57	3.18
A3694	38.037437	-121.495730	Central Delta tidal zone	San Joaquin River	10/1/2020	24.01	2.00	20.86	324.62	7.74	7.62	85.34	2.85	2.36	31.66	3.83	34.40	20.87	300.29	0.16	1.72	1.43	0.02	4.30	39.08	33.39	0.51	25.96	2.42	2.83
A4027	38.038482	-121.837065	Western Delta tidal zone	Broad Slough	10/1/2020	18.14	2.55	20.28	10050.40	7.82	8.14	93.08	5.73	3.10	23.45	4.82	26.18	20.29	9190.19	5.71	0.89	2.90	0.09	4.84	18.40	59.84	1.87	20.69	1.94	2.86
A5238	38.041166	-121.404746	Central Delta tidal zone	Fourteenmile Slough	10/1/2020	10.05	1.04	21.22	255.20	7.89	8.30	93.56	1.82	2.72	35.86	4.33	39.22	21.23	233.25	0.12	1.75	1.45	0.00	5.24	33.59	28.59	0.00	11.10	2.65	2.25
A4823	38.042258	-121.419536	Central Delta tidal zone	Disappointment Slough	10/1/2020	6.27	0.94	21.22	232.64	7.79	8.01	90.27	1.62	2.50	34.69	4.03	37.79	21.23	214.97	0.11	1.67	1.45	0.00	4.78	34.88	30.09	0.09	7.22	2.59	2.09
A3691	38.040138	-121.500875	Central Delta tidal zone	San Joaquin River	10/1/2020	23.83	2.28	20.91	321.92	7.73	7.70	86.22	2.67	2.34	32.31	3.83	35.05	20.93	297.15	0.16	1.73	1.45	0.03	4.34	39.54	33.28	0.60	26.10	2.45	2.49
A4814	38.041870	-121.428598	Central Delta tidal zone	Disappointment Slough	10/1/2020	7.35	1.09	21.17	228.29	7.73	7.84	88.13	1.61	2.40	34.34	3.90	37.38	21.17	211.44	0.11	1.65	1.35	0.01	4.58	30.54	29.34	0.25	8.44	2.57	2.48
A4425	38.042895	-121.577084	Central Delta tidal zone	Old River	10/1/2020	7.81	0.40	21.83	606.60	8.08	8.94	102.04	1.57	2.38	24.42	3.68	24.37	21.88	578.03	0.30	1.25	1.61	0.34	4.32	29.18	37.00	8.10	7.61	2.01	2.15
A4029	38.040938	-121.838885	Western Delta tidal zone	Broad Slough	10/1/2020	18.22	2.59	20.29	10184.07	7.81	8.12	92.90	5.54	2.95	23.51	4.69	26.22	20.31	9395.63	5.85	0.89	2.81	0.08	4.72	18.99	59.51	1.68	20.80	1.95	2.86
A4966	38.043344	-121.527232	Central Delta tidal zone	Three River Reach	10/1/2020	17.04	1.22	21.42	348.84	7.75	8.13	92.00	2.06	2.18	28.45	3.61	29.55	21.45	325.38	0.17	1.56	1.42	0.28	4.67	33.66	30.36	5.93	18.29	2.23	2.58
A4963	38.043926	-121.532121	Central Delta tidal zone	Mandeville Reach	10/1/2020	16.80	1.42	21.37	356.14	7.74	8.11	91.67	2.06	2.14	28.14	3.51	28.90	21.41	332.22	0.17	1.53	1.37	0.33	4.59	33.20	29.99	7.25	18.29	2.22	2.56
A4769	38.044772	-121.473682	Central Delta tidal zone	Disappointment Slough	10/1/2020	37.79	1.61	21.06	319.02	7.70	7.74	86.95	2.17	2.45	34.20	4.02	37.20	21.08	295.80	0.16	1.78	1.41	0.05	4.78	37.31	29.61	0.95	39.40	2.56	3.14
A3689	38.044925	-121.499377	Central Delta tidal zone	San Joaquin River	10/1/2020	23.74	1.96	21.04	313.74	7.67	7.66	86.10	2.29	2.23	33.96	3.70	35.93	21.04	290.38	0.15	1.59	1.34	0.11	4.24	39.13	31.65	2.55	25.68	2.54	2.44
A4968	38.045950	-121.525724	Central Delta tidal zone	Three River Reach	10/1/2020	18.47	1.59	21.26	344.04	7.75	8.02	90.43	2.32	2.22	28.89	3.68	30.45	21.27	319.60	0.17	1.61	1.43	0.22	4.70	34.85	30.37	4.62	20.11	2.26	2.63
A845	38.045330	-121.912180	Suisun Bay	Suisun Bay	10/1/2020	18.75	2.86	20.27	11314.64	7.87	8.26	94.83	7.46	3.48	23.86	5.35	25.84	20.26	11768.41	7.47	0.83	3.23	0.36	5.78	14.39	55.81	6.16	21.61	1.97	3.14
A4775	38.050189	-121.465319	Central Delta tidal zone	Disappointment Slough	10/1/2020	39.71	1.56	21.09	309.49	7.68	7.66	86.14	1.86	2.49	34.57	4.06	37.57	21.11	289.91	0.15	1.83	1.42	0.02	4.87	37.55	29.21	0.43	41.27	2.58	2.70
A851	38.047082	-121.922693	Suisun Bay	Suisun Bay	10/1/2020	19.72	2.90	20.66	11347.46	7.92	8.30	96.45	7.27	3.67	24.21	5.43	25.54	20.68	14156.81	9.03	0.73	3.17	0.27	5.69	13.06	55.75	4.77	22.63	1.99	3.14
A4780	38.051538	-121.460129	Central Delta tidal zone	Disappointment Slough	10/1/2020	32.23	1.51	21.09	290.46	7.68	7.64	85.88	1.72	2.41	34.72	3.87	37.73	21.10	275.79	0.14	1.75	1.31	0.03	4.59	38.09	28.56	0.68	33.74	2.59	2.56
A860	38.050077	-121.938821	Suisun Bay	Suisun Bay	10/1/2020	19.49	3.01	20.37	11337.62	7.90	8.27	95.40	5.54	3.36	24.28	5.17	25.78	20.39	13627.49	8.72	0.80	2.97	0.31	5.46	14.74	54.30	5.66	22.50	2.00	2.85
A858	38.049406	-121.935193	Suisun Bay	Suisun Bay	10/1/2020	19.31	2.90	20.49	11352.39	7.90	8.27	95.61	5.86	3.18	24.09	4.91	25.50	20.52	12969.12	8.24	0.79	2.92	0.33	5.44	14.73	53.63	5.85	22.21	1.99	2.83
A4972	38.050665	-121.521613	Central Delta tidal zone	Three River Reach	10/1/2020	20.47	1.78	21.13	334.72	7.74	7.91	89.02	2.51	2.47	29.72	3.93	31.70	21.15	309.97	0.16	1.67	1.50	0.15	4.89	34.62	30.77	3.08	22.24	2.30	2.66
A4974	38.052643	-121.519188	Central Delta tidal zone	Three River Reach	10/1/2020	21.17	1.84	21.09	330.36	7.74	7.88	88.64	2.53	2.58	30.14	4.02	32.25	21.11	305.68	0.16	1.70	1.53	0.13	4.92	34.70	31.18	2.56	23.00	2.33	2.65
A831	38.046718	-121.885524	Western Delta tidal zone	Sacramento River	10/1/2020	18.28	2.82	20.66	10882.93	7.87	8.28	95.66	5.27	3.69	23.73	5.64	25.15	20.69	10485.98	6.53	0.59	3.76	0.50	6.53	9.34	57.51	7.54	21.10	1.97	2.96
A4778	38.053847	-121.459987	Central Delta tidal zone	Disappointment Slough	10/1/2020	33.96	1.50	21.10	292.46	7.68	7.63	85.76	1.66	2.35	34.77	3.82	37.77	21.10	277.52	0.14	1.74	1.31	0.02	4.53	38.31	28.90	0.37	35.46	2.59	2.36
A4955	38.055024	-121.534759	Central Delta tidal zone	Mandeville Reach	10/1/2020	18.17	2.37	20.97	344.10	7.75	7.99	89.67	2.50	2.03	27.69	3.40	28.87	21.00	321.17	0.17	1.58	1.33	0.16	4.27	37.33	31.40	3.44	20.54	2.19	2.52
A862	38.052216	-121.941535	Suisun Bay	Suisun Bay	10/1/2020	19.58	3.06	20.38	11320.85	7.90	8.28	95.56	5.13	3.62	24.40	5.56	25.85	20.41	14227.91	9.13	0.76	3.14	0.39	5.67	13.53	55.34	6.73	22.64	2.00	2.89
A3657	38.056959	-121.543059	Central Delta tidal zone	San Joaquin River	10/1/2020	16.91	3.31	20.72	353.35	7.78	8.00	89.36	2.96	1.91	25.76	3.29	27.33	20.73	326.05	0.17	1.61	1.34	0.07	4.03	40.11	33.29	1.48	20.22	2.08	2.44
A3650	38.059013	-121.555544	Central Delta tidal zone	San Joaquin River	10/1/2020	16.47	2.85	20.51	361.42	7.84	7.95	88.40	3.68	1.83	23.64	3.11	25.40	20.52	330.76	0.17	1.57	1.25	0.02	3.61	43.67	34.69	0.57	19.32	1.96	2.38
A4041	38.057656	-121.845199	Western Delta tidal zone	Broad Slough	10/1/2020	18.29	2.59	20.26	10377.45	7.81	8.06	92.22	5.57	3.35	23.57	5.35	26.24	20.28	9732.47	6.07	0.82	3.29	0.29	5.38	15.22	61.15	5.30	20.88	1.96	2.87
A3509	38.059876	-121.679834	Central Delta tidal zone	San Joaquin River	10/1/2020	14.50	1.81	20.92	1876.13	7.87	8.18	92.18	3.04	2.32	21.39	3.70	22.24	20.95	1736.42	0.96	1.45	1.69	0.13	4.38	34.39	38.94	2.67	16.31	1.83	2.51
A4394	38.061265	-121.582183	Central Delta tidal zone	Old River	10/1/2020	12.12	1.17	21.67	552.43	8.12	9.03	102.81	1.82	2.70	22.83	4.16	23.16	21.68	512.94	0.27	1.25	1.84	0.40	5.42	23.55	33.94	7.28	13.28	1.91	2.21
A4043	38.059986	-121.847809	Western Delta tidal zone	Broad Slough	10/1/2020	18.38	2.65	20.27	10506.03	7.81	8.06	92.22	5.82	3.39	23.61	5.23	26.20	20.28	10279.96	6.45	0.82	3.17	0.24	5.28	15.60	59.98	4.43	21.00	1.96	2.87
A816	38.059013	-121.862819	Western Delta tidal zone	Sacramento River	10/1/2020	17.67	2.89	20.37	9934.70	7.83	8.21	93.95	5.07	3.31	23.57	5.20	25.36	20.38	9215.77	5.72	0.84	3.10	0.25	5.56	15.20	55.73	4.52	20.57	1.96	2.83
A867	38.057120	-121.947269	Suisun Bay	Honker Bay	10/1/2020	19.88	3.11	20.52	11273.92	7.91	8.32	96.30	4.47	4.00	24.43	6.26	25.76	20.53	15338.45	9.88	0.60	3.64	0.70	6.41	9.44	56.80	10.79	22.98	2.00	3.01
A869	38.056542	-121.950992	Suisun Bay	Honker Bay	10/1/2020	20.04	3.05	20.58	11258.38	7.91	8.33	96.58	5.00	3.80	24.32	6.01	25.70	20.60	15738.93	10.15	0.59	3.62	0.72	6.40	9.34	56.56	11.21	23.08	2.00	3.04
A813	38.059487	-121.857761	Western Delta tidal zone	Sacramento River	10/1/2020	17.71	2.82	20.35	9848.86	7.83	8.20	93.76	4.99	3.28	23.58	5.13	25.44	20.37	9314.34	5.79	0.86	3.11	0.26	5.51	15.71	56.36	4.64	20.48	1.96	2.83
A871	38.056736	-121.954597	Suisun Bay	Honker Bay	10/1/2020	20.18	3.07	20.63	11238.81	7.91	8.32	96.52	6.20	3.57	24.20	5.63	25.71	20.66	16114.97	10.40	0.67	3.38	0.57	5.95	11.51	56.94	9.44	23.25	1.99	3.07
A874	38.056519	-121.960118	Suisun Bay	Honker Bay	10/1/2020	20.20	3.20	20.58	11215.81	7.90	8.26	95.72	8.06	3.31	24.21	5.22	25.97	20.61	16533.79	10.71	0.78	3.08	0.36	5.31	14.97	58.02	6.67	23.40	1.99	3.11
