CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A2554	38.193497	-121.656957	Western Delta tidal zone	Cache Slough	10/1/2020	13.89	5.04	19.95	156.41	7.80	8.44	92.76	3.46	1.51	16.47	2.49	18.53	19.99	141.88	0.07	2.13	0.51	1.03	3.79	56.32	13.51	27.18	18.93	1.55	2.64
A591	38.193667	-121.564457	North Delta tidal transition zone	Sacramento River	10/1/2020	9.25	15.52	19.64	137.34	7.70	10.95	119.68	1.42	0.73	10.98	1.50	14.31	19.68	123.79	0.07	0.45	0.72	0.21	1.56	28.23	46.30	14.64	24.77	1.24	2.54
A3020	38.194646	-121.549486	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.46	7.28	19.34	126.90	7.77	8.57	93.02	1.66	0.76	12.65	1.47	12.80	19.37	113.06	0.07	0.76	0.82	0.00	2.03	37.50	40.71	0.00	11.74	1.34	1.87
A4076	38.194980	-121.474549	Mokelumne tidal transition zone	Beaver Slough	10/1/2020	13.21	6.64	19.54	122.63	7.58	8.38	91.42	1.81	1.35	15.68	2.45	16.11	19.58	110.16	0.06	1.13	0.90	0.01	2.96	40.92	32.96	0.50	19.85	1.51	1.96
A589	38.195506	-121.561679	North Delta tidal transition zone	Sacramento River	10/1/2020	9.29	15.21	19.68	137.50	7.70	11.30	123.56	1.39	0.71	10.53	1.52	14.28	19.68	123.87	0.07	0.40	0.67	0.26	1.52	25.41	44.58	18.42	24.50	1.22	2.53
A3261	38.195790	-121.479173	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.20	6.65	19.54	122.92	7.58	8.40	91.55	1.80	1.34	15.71	2.42	16.10	19.58	110.50	0.06	1.12	0.90	0.01	2.91	39.25	31.61	0.26	19.85	1.51	1.94
A3165	38.196222	-121.528069	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	15.10	12.92	19.28	137.76	7.53	7.87	85.31	1.83	0.87	15.78	1.65	16.62	19.28	122.31	0.05	0.87	0.73	0.00	1.74	47.41	42.30	0.19	28.02	1.52	2.47
A2552	38.196390	-121.656876	Western Delta tidal zone	Cache Slough	10/1/2020	13.75	5.24	19.95	156.53	7.80	8.50	93.44	3.73	1.52	15.98	2.47	18.62	19.98	141.94	0.07	2.20	0.43	1.12	3.91	56.14	11.01	28.51	18.99	1.53	2.66
A3018	38.196681	-121.546971	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.27	7.01	19.33	127.19	7.77	8.57	93.00	1.65	0.77	12.70	1.49	12.86	19.37	113.45	0.07	0.76	0.82	0.00	2.02	37.78	40.57	0.00	11.28	1.34	1.86
A3259	38.197805	-121.476994	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.07	6.60	19.50	120.98	7.58	8.39	91.40	1.88	1.31	15.56	2.38	15.96	19.54	108.69	0.06	1.08	0.88	0.02	2.87	36.38	29.59	0.75	19.67	1.50	1.93
A3163	38.197892	-121.525185	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	14.62	12.75	19.27	137.22	7.54	7.91	85.74	1.79	0.86	15.68	1.62	16.49	19.27	121.77	0.05	0.87	0.73	0.00	1.73	39.04	42.24	0.22	27.37	1.51	2.42
A587	38.197909	-121.559637	North Delta tidal transition zone	Sacramento River	10/1/2020	10.03	16.04	19.81	139.24	7.70	12.01	131.56	1.24	0.71	9.71	1.51	14.36	19.82	125.93	0.07	0.30	0.61	0.34	1.39	21.55	43.74	24.44	26.08	1.17	2.63
A2550	38.199288	-121.657220	Western Delta tidal zone	Cache Slough	10/1/2020	13.61	5.34	19.93	156.75	7.80	8.62	94.73	3.79	1.52	15.40	2.45	18.70	19.96	141.99	0.07	2.23	0.40	1.15	3.95	56.25	10.14	29.09	18.95	1.49	2.68
A3016	38.199282	-121.545264	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.19	7.04	19.33	127.79	7.77	8.57	92.95	1.64	0.78	12.80	1.50	12.96	19.36	114.04	0.07	0.77	0.82	0.00	2.01	37.93	40.68	0.00	11.23	1.35	1.85
A3257	38.200271	-121.476023	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.93	6.58	19.48	119.59	7.57	8.38	91.25	1.94	1.29	15.46	2.34	15.88	19.52	107.34	0.06	1.05	0.85	0.04	2.83	37.85	30.52	1.25	19.52	1.49	1.92
A3161	38.200338	-121.523343	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	14.18	12.57	19.26	136.65	7.54	7.95	86.14	1.75	0.84	15.56	1.60	16.38	19.26	121.22	0.05	0.87	0.71	0.00	1.70	24.71	42.01	0.29	26.75	1.50	2.36
A585	38.200609	-121.558266	North Delta tidal transition zone	Sacramento River	10/1/2020	10.00	15.70	19.83	138.95	7.70	12.03	131.92	1.21	0.72	9.58	1.49	14.29	19.84	125.76	0.07	0.29	0.60	0.34	1.37	21.48	44.04	24.90	25.70	1.16	2.61
A3014	38.201024	-121.542568	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.27	7.37	19.33	128.54	7.76	8.55	92.85	1.63	0.78	12.94	1.52	13.11	19.36	114.68	0.07	0.76	0.82	0.00	2.00	38.12	41.16	0.00	11.64	1.35	1.85
A3155	38.202428	-121.513855	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.44	11.81	19.24	134.57	7.54	8.05	87.27	1.69	0.81	15.46	1.59	16.18	19.25	119.43	0.05	0.90	0.68	0.00	1.65	51.07	41.41	0.01	25.25	1.50	2.19
A3255	38.202418	-121.477673	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.77	6.58	19.47	118.68	7.57	8.38	91.25	1.98	1.27	15.51	2.31	15.84	19.50	106.30	0.06	1.04	0.85	0.03	2.80	35.26	28.96	1.22	19.35	1.50	1.88
A2548	38.202166	-121.657207	Western Delta tidal zone	Cache Slough	10/1/2020	13.69	5.24	19.89	156.33	7.81	9.24	101.42	3.52	1.53	13.50	2.37	18.88	19.90	141.42	0.07	2.01	0.54	1.06	3.77	52.88	14.83	27.99	18.93	1.38	2.70
A3159	38.202557	-121.521025	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.82	12.37	19.25	136.10	7.54	7.98	86.50	1.71	0.83	15.45	1.59	16.28	19.25	120.66	0.05	0.87	0.70	0.00	1.68	12.67	41.84	0.30	26.19	1.50	2.31
A3157	38.202988	-121.517523	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.56	12.14	19.25	135.32	7.54	8.01	86.86	1.68	0.82	15.42	1.57	16.22	19.25	119.95	0.05	0.88	0.69	0.00	1.65	28.55	42.07	0.06	25.70	1.49	2.26
A3012	38.202828	-121.540211	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.40	8.09	19.34	129.44	7.76	8.54	92.68	1.62	0.79	13.11	1.53	13.31	19.35	115.44	0.06	0.75	0.83	0.00	1.99	36.19	41.69	0.00	12.49	1.37	1.85
A583	38.203493	-121.557666	North Delta tidal transition zone	Sacramento River	10/1/2020	9.96	15.16	19.85	138.44	7.70	12.07	132.43	1.17	0.73	9.40	1.46	14.21	19.86	125.43	0.07	0.28	0.59	0.35	1.36	20.87	43.73	25.90	25.12	1.15	2.57
A3153	38.203698	-121.510901	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	13.40	11.66	19.24	134.27	7.54	8.07	87.47	1.71	0.83	15.48	1.62	16.17	19.25	119.19	0.05	0.91	0.68	0.00	1.67	53.05	40.97	0.01	25.08	1.50	2.16
A3253	38.205010	-121.479244	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.69	6.62	19.47	118.37	7.58	8.39	91.32	2.06	1.24	15.63	2.29	15.86	19.49	105.69	0.06	1.03	0.86	0.03	2.75	33.80	28.12	1.08	19.31	1.50	1.84
A3010	38.205655	-121.541073	North Delta tidal transition zone	Georgiana Slough	10/1/2020	4.43	8.18	19.34	129.58	7.76	8.56	92.89	1.61	0.78	13.13	1.51	13.35	19.36	115.62	0.06	0.76	0.81	0.00	1.97	31.11	41.36	0.00	12.62	1.37	1.84
