CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A447	38.340673	-121.561790	North Delta tidal transition zone	Sacramento River	10/1/2021	16.63	0.25	19.65	163.02	7.89	8.63	94.24	1.36	0.48	12.53	1.44	12.15	19.66	148.19	0.08	1.24	2.06	0.47	0.00	3.76	32.75	48.27	11.56	0.00	16.90	1.42	0.96
A445	38.342998	-121.559569	North Delta tidal transition zone	Sacramento River	10/1/2021	16.91	0.25	19.64	163.72	7.89	8.63	94.27	1.33	0.51	12.55	1.43	12.16	19.66	148.77	0.08	1.24	2.06	0.48	0.00	3.78	32.80	54.18	10.26	0.00	17.17	1.42	0.96
A443	38.344221	-121.556282	North Delta tidal transition zone	Sacramento River	10/1/2021	17.15	0.25	19.64	164.35	7.89	8.64	94.35	1.30	0.53	12.54	1.42	12.15	19.65	149.25	0.08	1.22	2.08	0.48	0.00	3.78	32.17	55.28	10.04	0.00	17.40	1.42	0.96
A441	38.344964	-121.552724	North Delta tidal transition zone	Sacramento River	10/1/2021	17.34	0.25	19.63	165.09	7.89	8.64	94.46	1.30	0.54	12.52	1.41	12.13	19.64	149.76	0.08	1.17	2.11	0.46	0.00	3.75	31.20	57.97	8.82	0.00	17.58	1.42	0.97
A439	38.345826	-121.549237	North Delta tidal transition zone	Sacramento River	10/1/2021	17.42	0.25	19.63	165.36	7.89	8.65	94.52	1.31	0.50	12.49	1.42	12.08	19.64	149.86	0.08	1.18	2.11	0.45	0.00	3.74	31.53	56.83	9.17	0.00	17.48	1.42	0.97
A437	38.346379	-121.545611	North Delta tidal transition zone	Sacramento River	10/1/2021	17.43	0.24	19.64	165.32	7.89	8.66	94.58	1.31	0.44	12.45	1.43	12.04	19.65	149.77	0.08	1.24	2.10	0.42	0.00	3.75	33.04	56.45	8.46	0.00	17.06	1.42	0.98
A435	38.346719	-121.541965	North Delta tidal transition zone	Sacramento River	10/1/2021	17.30	0.23	19.63	165.18	7.90	8.67	94.71	1.30	0.44	12.37	1.41	11.98	19.65	149.57	0.08	1.24	2.10	0.40	0.00	3.72	33.33	56.65	10.31	0.00	16.46	1.41	0.98
A433	38.347771	-121.538488	North Delta tidal transition zone	Sacramento River	10/1/2021	17.10	0.22	19.63	164.92	7.90	8.69	94.88	1.30	0.48	12.30	1.40	11.90	19.65	149.31	0.08	1.23	2.10	0.40	0.00	3.72	33.15	56.46	10.70	0.00	15.94	1.41	0.98
A431	38.349472	-121.535528	North Delta tidal transition zone	Sacramento River	10/1/2021	16.84	0.22	19.64	164.60	7.91	8.70	95.05	1.29	0.51	12.23	1.39	11.81	19.65	148.98	0.08	1.18	2.10	0.43	0.00	3.71	31.74	56.43	11.69	0.00	15.20	1.40	0.99
A429	38.351633	-121.533082	North Delta tidal transition zone	Sacramento River	10/1/2021	16.66	0.21	19.64	164.28	7.91	8.71	95.18	1.27	0.51	12.19	1.40	11.76	19.66	148.72	0.08	1.17	2.10	0.45	0.00	3.73	31.37	56.30	12.23	0.00	14.56	1.40	0.99
A427	38.353922	-121.530821	North Delta tidal transition zone	Sacramento River	10/1/2021	16.37	0.21	19.66	163.69	7.92	8.72	95.33	1.26	0.48	12.12	1.39	11.68	19.67	148.10	0.08	1.18	2.10	0.48	0.00	3.75	31.56	55.98	12.80	0.00	13.52	1.40	0.99
A425	38.356131	-121.528449	North Delta tidal transition zone	Sacramento River	10/1/2021	15.99	0.21	19.66	163.02	7.92	8.73	95.42	1.26	0.49	12.06	1.40	11.61	19.67	147.34	0.08	1.20	2.09	0.48	0.00	3.75	31.97	55.77	12.87	0.00	12.72	1.40	0.99
A423	38.358265	-121.525982	North Delta tidal transition zone	Sacramento River	10/1/2021	15.17	0.21	19.66	161.67	7.93	8.74	95.53	1.27	0.50	11.95	1.39	11.49	19.67	145.98	0.08	1.22	2.09	0.47	0.00	3.75	32.43	55.77	12.52	0.00	11.50	1.39	1.00
A421	38.359996	-121.522932	North Delta tidal transition zone	Sacramento River	10/1/2021	14.52	0.22	19.65	160.59	7.94	8.75	95.61	1.27	0.48	11.86	1.37	11.40	19.66	144.96	0.08	1.18	2.11	0.43	0.00	3.71	31.88	56.84	11.66	0.00	10.75	1.39	1.00
