"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2021, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at eleven large river sites throughout the United States, June through October 2018: U.S. Geological Survey data release, https://doi.org/10.5066/P98RPC1E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Data qualifiers for Chlorophyll-a,Chlorophyll-a (ug/L),Data qualifiers for Pheophytin-a,Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
14211720,"Willamette River at Portland, OR",6/5/2018,1240,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,4.1,E,1.7,<,960,<,420,,"910,000",<,390,<,"1,400",<,"1,500"
14211720,"Willamette River at Portland, OR",7/10/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,4.9,,2.7,<,960,<,420,E,970,<,390,<,"7,800",<,"1,500"
14211720,"Willamette River at Portland, OR",8/1/2018,1150,Regular,,0.11,<,0.05,<,0.02,<,0.15,,6.9,,5.3,<,960,<,420,<,930,,"6,100",<,"1,400",<,"1,500"
14211720,"Willamette River at Portland, OR",8/7/2018,1110,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,6.4,,3.4,E,"1,300",E,"1,600",E,"1,400",,"140,000",<,"1,500",<,"1,700"
14211720,"Willamette River at Portland, OR",9/5/2018,1120,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,9.6,,2.4,,NM,,NM,,NM,,NM,,NM,,NM
14211720,"Willamette River at Portland, OR",9/5/2018,1120,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
14211720,"Willamette River at Portland, OR",9/5/2018,1121,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,,8.5,,2.8,E,"1,000",<,420,<,930,<,390,<,"1,400",<,"1,500"
14211720,"Willamette River at Portland, OR",9/5/2018,1121,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
14211720,"Willamette River at Portland, OR",10/23/2018,1210,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.4,,1.1,<,"1,300",<,560,E,"2,100",<,520,<,"1,800",<,"2,000"
14211720,"Willamette River at Portland, OR",10/23/2018,1210,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
