CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A3696	38.03515	-121.49281	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	23.16	0.61	20.05	310.07	8.03	9.10	100.15	5.65	3.10	35.53	3.95	20.10	286.9	0.15	0.75	1.55	1.55	0.03	3.89	18.67	40.34	39.76	0.70	23.25	3.27	17.81	41.35	2.15
A4801	38.03903	-121.44017	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	14.48	0.31	21.14	396.43	8.04	8.22	92.74	1.94	3.07	50.65	3.91	21.15	372.9	0.19	0.22	1.41	1.37	0.04	3.08	7.07	45.29	44.84	1.18	14.84	4.39	23.86	38.67	3.75
A3694	38.03744	-121.49573	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	22.62	0.64	19.92	306.74	8.02	9.19	100.82	6.76	3.03	34.77	3.78	19.95	282.8	0.15	0.61	1.55	1.40	0.01	3.60	16.06	44.14	38.60	0.22	22.93	3.21	17.51	40.51	2.00
A5238	38.04117	-121.40475	Central Delta Tidal Transition Zone	Fourteenmile Slough	May-2022	8.75	1.76	21.59	427.08	8.21	8.09	91.88	3.32	3.45	53.79	4.37	21.59	405.1	0.21	0.05	1.50	1.40	0.20	3.16	0.60	51.59	39.72	7.89	10.37	4.62	25.12	35.54	4.39
A4823	38.04226	-121.41954	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	6.98	0.32	21.47	410.09	8.13	8.45	95.73	2.05	3.09	50.98	4.01	21.47	388.6	0.20	0.00	1.44	1.28	0.06	2.76	0.05	49.73	47.38	2.14	7.30	4.41	23.99	31.30	3.82
A3691	38.04014	-121.50088	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	21.48	0.56	19.98	303.05	8.03	9.02	99.09	4.47	3.00	36.13	3.91	20.02	279.5	0.15	0.76	1.51	1.51	0.01	3.81	19.37	40.25	39.53	0.28	22.06	3.31	18.05	40.11	1.84
A4814	38.04187	-121.42860	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	8.82	0.27	21.38	403.86	8.09	8.25	93.23	1.84	3.15	50.84	4.05	21.39	382.2	0.20	0.13	1.43	1.50	0.08	3.17	4.05	45.21	47.31	2.62	9.10	4.40	23.93	33.03	3.76
A4425	38.04290	-121.57708	Central Delta Tidal Transition Zone	Old River	May-2022	8.88	0.77	20.69	287.85	7.96	8.58	95.72	4.42	3.57	34.22	4.18	20.79	269.2	0.14	1.52	1.44	1.97	0.01	5.01	32.44	30.74	35.55	0.28	9.53	3.17	17.29	27.22	1.55
A4769	38.04477	-121.47368	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	27.83	0.95	20.33	364.59	7.93	8.41	93.23	2.29	2.95	46.95	3.60	20.34	338.4	0.18	0.36	1.23	1.09	0.00	2.67	13.51	46.99	41.19	0.00	28.79	4.11	22.38	51.18	3.04
A3689	38.04493	-121.49938	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	21.03	0.54	20.01	299.41	8.06	9.11	100.32	4.47	3.43	36.37	4.60	20.05	276.5	0.15	0.82	1.54	2.12	0.01	4.50	18.48	35.43	45.65	0.37	21.53	3.33	18.15	39.69	1.96
