CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A1056	38.13310	-122.04707	Suisun Bay	Grizzly Bay	May-2022	27.99	4.31	18.95	16068.89	7.97	8.68	98.81	90.77	5.50	29.72	5.50	18.99	14401.6	9.57	2.18	3.39	2.97	0.00	8.54	25.53	39.66	34.86	0.00	32.30	2.84	15.49	47.77	1.42
A1092	38.11908	-122.00141	Suisun Bay	Grizzly Bay	May-2022	29.84	3.48	19.59	16429.88	8.04	8.81	101.79	84.15	7.34	30.29	7.83	19.63	14921.0	9.79	3.34	3.14	4.91	0.00	11.38	29.39	27.53	43.11	0.00	33.32	2.88	15.72	49.04	1.49
A1089	38.12227	-122.00372	Suisun Bay	Grizzly Bay	May-2022	29.13	3.26	19.56	16465.99	8.02	8.79	101.49	84.49	7.29	32.05	7.81	19.59	14999.9	9.85	3.44	3.11	4.81	0.00	11.37	30.30	27.32	42.31	0.00	32.40	3.01	16.42	48.81	1.07
A1070	38.12922	-122.02143	Suisun Bay	Grizzly Bay	May-2022	27.49	3.81	19.81	17704.26	8.03	8.84	102.98	32.71	5.20	33.03	6.00	19.83	16374.3	10.78	3.22	1.89	3.02	0.00	8.10	39.59	23.43	37.20	0.00	31.67	3.08	16.81	48.41	1.04
A1068	38.12854	-122.02507	Suisun Bay	Grizzly Bay	May-2022	27.81	4.13	19.70	17344.74	8.03	8.83	102.51	33.73	5.17	32.51	6.02	19.74	16007.6	10.54	3.18	1.98	2.97	0.00	8.11	39.08	24.44	36.46	0.00	32.09	3.05	16.60	48.69	1.10
A1080	38.13567	-122.00411	Suisun Bay	Grizzly Bay	May-2022	27.60	3.12	19.83	17622.66	8.02	8.86	103.31	47.59	5.89	32.95	6.75	19.85	15809.3	10.37	3.26	2.24	3.74	0.00	9.26	35.28	24.10	40.32	0.00	30.66	3.08	16.78	47.97	1.15
A1094	38.11634	-121.99871	Suisun Bay	Grizzly Bay	May-2022	29.86	3.44	19.61	16343.74	8.04	8.81	101.80	77.58	7.18	30.15	7.72	19.64	14843.4	9.73	3.28	3.04	4.79	0.00	11.12	29.64	27.26	43.04	0.00	33.30	2.87	15.66	48.96	1.99
A1137	38.09525	-122.01745	Suisun Bay	Grizzly Bay	May-2022	27.16	5.21	18.68	16604.38	7.97	8.91	101.20	42.30	4.81	33.97	5.31	18.72	14821.3	9.93	1.90	2.22	2.80	0.00	6.95	27.32	32.00	40.23	0.00	32.00	3.15	17.19	49.42	1.24
A1156	38.08451	-121.98593	Suisun Bay	Suisun Bay	May-2022	25.80	5.23	18.76	12694.36	8.00	8.77	98.28	34.91	4.13	32.47	4.57	18.78	11316.0	7.41	1.32	2.13	2.41	0.00	5.86	22.38	36.30	41.22	0.00	31.02	3.04	16.59	47.61	1.78
A1158	38.08204	-121.98396	Suisun Bay	Suisun Bay	May-2022	25.66	5.04	18.68	12636.11	7.99	8.77	98.06	33.31	4.06	32.61	4.50	18.71	11239.8	7.37	1.23	2.07	2.37	0.00	5.68	21.57	36.59	41.83	0.00	30.70	3.05	16.64	47.34	1.70
A852	38.04717	-121.92453	Suisun Bay	Suisun Bay	May-2022	22.73	12.35	18.45	7374.71	7.93	8.91	97.29	27.04	3.29	32.21	3.47	18.47	6574.3	4.17	0.53	1.92	1.69	0.00	4.13	12.89	46.42	40.96	0.00	35.08	3.02	16.49	51.56	2.45
A1078	38.13847	-122.00610	Suisun Bay	Grizzly Bay	May-2022	27.40	3.18	19.83	18251.99	8.03	8.88	103.68	43.70	5.62	32.35	6.53	19.85	16342.2	10.75	3.20	2.16	3.53	0.00	8.93	35.82	24.18	39.52	0.00	30.93	3.03	16.54	47.94	1.15
A1083	38.13037	-122.00555	Suisun Bay	Grizzly Bay	May-2022	27.93	3.14	19.86	16890.00	8.03	8.85	102.96	53.95	6.30	33.39	7.05	19.87	15272.6	9.98	3.33	2.40	4.07	0.00	9.83	33.94	24.37	41.43	0.00	30.77	3.11	16.96	48.04	1.05
A1082	38.13218	-122.00501	Suisun Bay	Grizzly Bay	May-2022	27.85	3.15	19.89	17279.98	8.03	8.86	103.34	48.95	6.07	33.00	6.87	19.91	15581.7	10.19	3.29	2.28	3.91	0.00	9.49	34.67	23.97	41.14	0.00	30.72	3.08	16.80	47.97	1.08
A1081	38.13384	-122.00478	Suisun Bay	Grizzly Bay	May-2022	27.72	3.16	19.88	17680.65	8.03	8.87	103.56	45.83	5.87	32.66	6.71	19.91	15894.1	10.42	3.24	2.20	3.75	0.00	9.21	35.23	23.91	40.62	0.00	30.75	3.06	16.67	47.94	1.11
A1079	38.13756	-122.00370	Suisun Bay	Grizzly Bay	May-2022	27.46	3.13	19.82	17948.62	8.03	8.87	103.46	45.63	5.73	32.64	6.62	19.84	16065.1	10.56	3.22	2.19	3.60	0.00	9.05	35.67	24.21	39.77	0.00	30.75	3.06	16.65	47.95	1.17
A1087	38.12648	-121.99898	Suisun Bay	Grizzly Bay	May-2022	28.46	3.16	19.58	16529.34	8.01	8.79	101.58	75.57	7.05	33.52	7.69	19.60	15012.2	9.86	3.46	2.90	4.59	0.00	10.99	31.60	26.33	41.70	0.00	31.61	3.12	17.01	48.65	1.37
A1091	38.12134	-121.99609	Suisun Bay	Grizzly Bay	May-2022	30.39	3.19	19.65	16537.28	8.03	8.81	101.95	83.27	7.27	30.67	7.93	19.68	15067.0	9.88	3.38	3.11	4.89	0.00	11.39	29.67	27.34	42.91	0.00	33.59	2.91	15.87	49.46	2.12
A1100	38.10771	-121.99384	Suisun Bay	Grizzly Bay	May-2022	26.60	3.56	19.55	15689.48	7.99	8.72	100.36	38.54	5.10	31.54	5.81	19.57	14207.4	9.30	2.45	2.19	3.09	0.00	7.81	30.88	28.33	39.76	0.00	30.16	2.97	16.22	46.36	3.04
A1098	38.11126	-121.99437	Suisun Bay	Grizzly Bay	May-2022	27.55	3.18	19.64	16147.66	8.00	8.74	100.89	46.27	5.67	30.95	6.40	19.66	14669.9	9.60	2.77	2.38	3.54	0.00	8.75	31.58	27.23	40.54	0.00	30.73	2.93	15.98	46.71	3.00
A1106	38.10668	-122.00851	Suisun Bay	Grizzly Bay	May-2022	26.70	3.43	19.27	15277.41	7.99	8.72	99.64	36.01	4.34	33.07	4.89	19.29	13643.2	8.96	1.98	1.98	2.46	0.00	6.43	30.84	30.81	38.28	0.00	30.10	3.09	16.83	46.92	1.59
A1105	38.10570	-122.00578	Suisun Bay	Grizzly Bay	May-2022	26.29	3.99	19.35	15564.14	7.99	8.71	99.83	34.73	4.45	33.01	5.02	19.37	13945.0	9.16	2.08	1.97	2.54	0.00	6.60	31.47	29.85	38.46	0.00	30.25	3.08	16.81	47.02	1.96
A1103	38.10520	-122.00038	Suisun Bay	Grizzly Bay	May-2022	25.98	4.16	19.45	15703.45	7.99	8.72	100.11	34.35	4.68	32.62	5.29	19.47	14139.4	9.27	2.23	1.99	2.73	0.00	7.01	31.72	28.63	38.84	0.00	30.12	3.05	16.65	46.73	2.36
A1152	38.08348	-121.99288	Suisun Bay	Suisun Bay	May-2022	26.00	6.21	18.75	13775.53	7.99	8.75	98.44	27.23	4.10	33.42	4.62	18.80	12105.3	7.96	1.52	1.85	2.44	0.00	5.78	26.39	31.86	42.25	0.00	32.20	3.11	16.97	49.17	1.65
A1151	38.08184	-121.99738	Suisun Bay	Suisun Bay	May-2022	26.17	6.73	18.76	14180.09	7.99	8.73	98.40	28.48	4.20	32.82	4.74	18.79	12541.4	8.28	1.60	1.89	2.52	0.00	5.97	26.83	31.61	42.36	0.00	32.91	3.07	16.73	49.64	1.56
A870	38.05642	-121.95282	Suisun Bay	Honker Bay	May-2022	24.16	4.69	18.43	9383.17	7.93	8.84	97.18	37.15	3.53	32.25	3.69	18.45	8253.6	5.32	0.67	2.11	1.77	0.00	4.53	14.66	46.53	39.09	0.00	28.85	3.03	16.50	45.34	2.64
A865	38.06020	-121.94307	Suisun Bay	Honker Bay	May-2022	24.45	5.25	18.42	9465.66	7.99	8.85	97.38	34.20	3.62	31.30	3.80	18.44	8338.8	5.38	0.76	2.19	1.78	0.00	4.73	15.78	46.41	37.66	0.00	29.72	2.96	16.12	45.83	2.37
A1164	38.07252	-121.99871	Suisun Bay	Suisun Bay	May-2022	25.87	5.81	18.61	13332.07	7.95	8.75	98.04	23.85	3.89	33.24	4.32	18.63	11855.4	7.82	1.29	1.70	2.28	0.00	5.23	23.77	32.94	43.84	0.00	31.82	3.10	16.89	48.65	1.27
A1165	38.07365	-121.99699	Suisun Bay	Suisun Bay	May-2022	25.86	5.94	18.62	13411.56	7.96	8.75	98.06	23.99	3.93	33.21	4.37	18.65	11927.1	7.87	1.34	1.72	2.30	0.00	5.33	24.52	32.73	43.44	0.00	31.91	3.10	16.88	48.73	1.33
A1166	38.07486	-121.99519	Suisun Bay	Suisun Bay	May-2022	25.93	6.25	18.68	13753.92	7.98	8.74	98.20	24.41	4.05	33.13	4.54	18.71	12207.3	8.06	1.48	1.77	2.40	0.00	5.60	26.16	31.79	42.97	0.00	32.22	3.09	16.85	49.05	1.41
A1167	38.07480	-121.99341	Suisun Bay	Suisun Bay	May-2022	25.88	6.15	18.67	13640.41	7.98	8.75	98.17	24.91	4.05	33.20	4.53	18.71	12096.1	7.98	1.47	1.79	2.39	0.00	5.60	25.96	32.20	42.72	0.00	32.06	3.10	16.88	48.92	1.46
A1168	38.07323	-121.99151	Suisun Bay	Suisun Bay	May-2022	25.72	5.78	18.62	13142.44	7.97	8.76	97.99	25.66	3.96	33.25	4.40	18.66	11663.8	7.68	1.33	1.80	2.29	0.00	5.39	24.28	33.86	42.59	0.00	31.56	3.10	16.90	48.42	1.49
A1169	38.07290	-121.98963	Suisun Bay	Suisun Bay	May-2022	25.67	5.58	18.60	12919.91	7.97	8.76	97.92	26.97	3.95	33.18	4.38	18.64	11454.4	7.53	1.28	1.85	2.26	0.00	5.35	23.46	34.93	42.25	0.00	31.29	3.10	16.87	48.13	1.54
A1170	38.07219	-121.98771	Suisun Bay	Suisun Bay	May-2022	25.62	5.37	18.59	12701.96	7.97	8.76	97.85	28.41	3.93	33.09	4.36	18.63	11248.0	7.39	1.22	1.90	2.22	0.00	5.31	22.58	36.10	41.88	0.00	31.02	3.09	16.83	47.83	1.58
A1171	38.07176	-121.98587	Suisun Bay	Suisun Bay	May-2022	25.60	5.17	18.58	12511.05	7.97	8.76	97.80	29.71	3.92	33.02	4.34	18.62	11064.6	7.26	1.16	1.95	2.19	0.00	5.27	21.78	37.16	41.52	0.00	30.79	3.08	16.81	47.58	1.61
A1172	38.07164	-121.98406	Suisun Bay	Suisun Bay	May-2022	25.56	4.89	18.55	12096.66	7.97	8.78	97.74	29.73	3.82	33.03	4.22	18.59	10692.7	7.00	1.05	1.94	2.10	0.00	5.07	20.50	38.42	41.42	0.00	30.47	3.08	16.81	47.26	1.66
A1173	38.07139	-121.98220	Suisun Bay	Suisun Bay	May-2022	25.62	4.77	18.56	11991.28	7.97	8.78	97.74	29.83	3.80	33.04	4.19	18.60	10589.9	6.93	1.02	1.94	2.08	0.00	5.02	20.19	38.76	41.41	0.00	30.40	3.09	16.82	47.20	1.68
A1162	38.07791	-121.97884	Suisun Bay	Suisun Bay	May-2022	25.44	4.79	18.62	12347.26	7.99	8.76	97.82	31.76	3.90	32.96	4.34	18.66	10888.9	7.13	1.10	2.02	2.24	0.00	5.35	20.54	37.65	41.86	0.00	30.22	3.08	16.79	47.01	1.59
A1174	38.07059	-121.98028	Suisun Bay	Suisun Bay	May-2022	25.62	4.77	18.56	11991.28	7.97	8.78	97.74	29.83	3.80	33.04	4.19	18.60	10589.9	6.93	1.02	1.94	2.08	0.00	5.02	20.19	38.76	41.41	0.00	30.40	3.09	16.82	47.20	1.68
A1175	38.07120	-121.97856	Suisun Bay	Suisun Bay	May-2022	25.67	4.66	18.57	11894.09	7.97	8.78	97.74	29.65	3.76	33.13	4.14	18.61	10507.9	6.87	1.00	1.92	2.06	0.00	4.97	20.01	38.79	41.57	0.00	30.34	3.09	16.85	47.18	1.69
A1176	38.07164	-121.97685	Suisun Bay	Suisun Bay	May-2022	25.67	4.54	18.58	11803.07	7.98	8.78	97.75	29.03	3.72	33.24	4.10	18.62	10434.8	6.81	1.00	1.90	2.06	0.00	4.94	20.08	38.51	41.75	0.00	30.21	3.10	16.90	47.10	1.69
A1177	38.07160	-121.97507	Suisun Bay	Suisun Bay	May-2022	25.56	4.42	18.60	11723.71	7.99	8.79	97.77	29.06	3.71	33.36	4.08	18.64	10378.4	6.77	1.01	1.89	2.07	0.00	4.96	20.28	38.23	41.78	0.00	29.99	3.11	16.94	46.93	1.67
A1178	38.06991	-121.97302	Suisun Bay	Suisun Bay	May-2022	25.37	4.30	18.61	11631.98	7.99	8.79	97.79	30.13	3.73	33.39	4.09	18.65	10315.5	6.73	1.03	1.93	2.09	0.00	5.03	20.39	38.37	41.47	0.00	29.69	3.11	16.96	46.65	1.64
A1179	38.06967	-121.97111	Suisun Bay	Suisun Bay	May-2022	25.05	4.05	18.59	11278.19	7.99	8.80	97.73	30.86	3.71	33.25	4.05	18.62	10022.5	6.52	0.99	1.94	2.04	0.00	4.97	19.77	39.26	41.16	0.00	29.22	3.10	16.90	46.11	1.71
A1180	38.06983	-121.96920	Suisun Bay	Suisun Bay	May-2022	25.08	4.16	18.62	11455.64	8.00	8.79	97.79	31.99	3.79	33.08	4.14	18.65	10179.5	6.63	1.06	2.01	2.10	0.00	5.16	20.34	39.07	40.71	0.00	29.31	3.09	16.83	46.13	1.55
A1182	38.07100	-121.96566	Suisun Bay	Suisun Bay	May-2022	25.14	4.29	18.60	11254.53	7.99	8.80	97.75	33.60	3.81	32.66	4.14	18.63	10010.8	6.51	1.03	2.06	2.08	0.00	5.17	19.76	39.96	40.15	0.00	29.53	3.06	16.66	46.18	1.47
A1183	38.07154	-121.96386	Suisun Bay	Honker Bay	May-2022	25.24	4.49	18.59	11182.42	7.99	8.80	97.73	35.51	3.83	32.51	4.13	18.62	9941.0	6.47	1.02	2.11	2.06	0.00	5.20	19.53	40.51	39.68	0.00	29.82	3.05	16.60	46.41	1.45
A1185	38.07248	-121.96033	Suisun Bay	Honker Bay	May-2022	25.44	4.84	18.57	11279.46	8.00	8.80	97.76	38.20	3.89	32.36	4.14	18.60	10012.0	6.52	1.04	2.18	2.08	0.00	5.32	19.57	40.94	39.22	0.00	30.30	3.03	16.54	46.84	1.30
A1186	38.07258	-121.95854	Suisun Bay	Honker Bay	May-2022	25.55	5.23	18.54	11284.61	8.00	8.81	97.72	40.37	3.92	32.17	4.14	18.57	9999.0	6.51	1.03	2.23	2.08	0.00	5.36	19.30	41.68	38.85	0.00	30.80	3.02	16.47	47.26	1.31
A1199	38.07342	-121.93483	Suisun Bay	Honker Bay	May-2022	24.70	7.03	18.56	10092.24	8.01	8.87	98.05	40.44	3.84	31.63	3.99	18.59	8851.2	5.71	1.01	2.29	1.90	0.00	5.22	19.26	43.96	36.41	0.00	31.59	2.98	16.25	47.98	1.70
A907	38.06670	-122.02061	Suisun Bay	Suisun Bay	May-2022	25.89	2.03	18.52	13391.15	7.90	8.76	98.03	20.70	3.47	34.05	3.86	18.54	12025.6	7.96	1.07	1.44	2.01	0.00	4.56	23.50	31.64	44.03	0.00	27.93	3.16	17.22	45.15	0.93
A1163	38.07216	-122.00050	Suisun Bay	Suisun Bay	May-2022	25.86	5.60	18.59	13226.78	7.95	8.76	98.02	23.61	3.84	33.35	4.27	18.62	11755.0	7.75	1.22	1.68	2.25	0.00	5.13	22.95	33.12	44.31	0.00	31.67	3.11	16.94	48.54	1.21
A925	38.06334	-122.02787	Suisun Bay	Suisun Bay	May-2022	26.19	1.78	18.30	14268.01	7.89	8.70	97.22	38.88	3.82	32.55	4.09	18.33	12758.1	8.52	1.13	1.96	2.07	0.00	5.17	22.01	37.69	40.22	0.00	27.98	3.05	16.62	44.58	0.96
A926	38.06335	-122.02970	Suisun Bay	Suisun Bay	May-2022	26.31	2.00	18.26	14557.19	7.89	8.69	97.02	42.93	3.94	31.90	4.19	18.29	12989.6	8.70	1.18	2.14	2.12	0.00	5.41	21.85	39.37	39.28	0.00	28.31	3.00	16.36	44.66	0.98
A927	38.06332	-122.03154	Suisun Bay	Suisun Bay	May-2022	26.43	2.22	18.26	14787.90	7.89	8.67	96.96	43.22	4.02	31.51	4.27	18.29	13189.9	8.84	1.23	2.19	2.17	0.00	5.56	22.18	39.41	39.07	0.00	28.65	2.97	16.20	44.85	1.01
A928	38.06326	-122.03336	Suisun Bay	Suisun Bay	May-2022	26.51	2.34	18.29	14978.45	7.89	8.67	97.04	40.96	4.05	31.43	4.33	18.34	13377.6	8.97	1.30	2.15	2.20	0.00	5.62	23.09	38.25	39.24	0.00	28.85	2.97	16.17	45.01	1.04
A929	38.06344	-122.03512	Suisun Bay	Suisun Bay	May-2022	26.51	2.34	18.35	15178.93	7.89	8.67	97.20	37.65	4.06	31.55	4.37	18.39	13572.9	9.10	1.36	2.06	2.23	0.00	5.63	24.17	36.63	39.58	0.00	28.85	2.97	16.22	45.06	1.07
A930	38.06325	-122.03691	Suisun Bay	Suisun Bay	May-2022	26.49	2.28	18.40	15378.66	7.89	8.66	97.36	34.74	4.03	31.82	4.40	18.43	13746.7	9.22	1.41	1.96	2.23	0.00	5.59	25.20	35.02	39.95	0.00	28.77	2.99	16.33	45.09	1.11
A931	38.06294	-122.03871	Suisun Bay	Suisun Bay	May-2022	26.43	2.27	18.43	15559.30	7.89	8.66	97.45	33.72	4.00	32.10	4.40	18.45	13893.6	9.32	1.44	1.90	2.23	0.00	5.55	25.84	34.14	40.14	0.00	28.70	3.02	16.44	45.13	1.15
A932	38.06275	-122.04053	Suisun Bay	Suisun Bay	May-2022	26.39	2.43	18.42	15783.91	7.89	8.65	97.42	34.79	4.01	32.20	4.40	18.44	14103.3	9.48	1.44	1.90	2.23	0.00	5.56	25.82	34.20	40.07	0.00	28.82	3.02	16.48	45.29	1.19
A933	38.06236	-122.04239	Suisun Bay	Suisun Bay	May-2022	26.35	2.74	18.39	16091.74	7.89	8.64	97.32	38.02	4.04	32.16	4.41	18.41	14391.7	9.69	1.44	1.95	2.23	0.00	5.60	25.61	34.81	39.85	0.00	29.08	3.02	16.46	45.54	1.22
A936	38.06780	-122.04758	Suisun Bay	Suisun Bay	May-2022	26.68	3.54	18.28	17055.16	7.89	8.59	96.95	53.94	4.27	31.29	4.57	18.31	15220.1	10.33	1.47	2.29	2.36	0.00	6.11	24.16	37.38	38.68	0.00	30.23	2.96	16.11	46.36	1.35
A935	38.06216	-122.04601	Suisun Bay	Suisun Bay	May-2022	26.34	3.11	18.35	16447.27	7.89	8.62	97.16	42.08	4.09	31.99	4.43	18.37	14722.1	9.94	1.44	2.03	2.25	0.00	5.70	25.34	35.63	39.45	0.00	29.45	3.01	16.40	45.84	1.26
A937	38.06751	-122.04926	Suisun Bay	Suisun Bay	May-2022	26.58	3.80	18.26	17294.94	7.89	8.58	96.81	53.41	4.29	31.06	4.58	18.29	15418.8	10.47	1.47	2.30	2.36	0.00	6.11	24.01	37.65	38.62	0.00	30.39	2.94	16.03	46.42	1.37
A939	38.06595	-122.05290	Suisun Bay	Suisun Bay	May-2022	26.78	4.34	18.24	17729.82	7.88	8.55	96.61	54.32	4.39	30.67	4.64	18.27	15736.0	10.71	1.47	2.35	2.43	0.00	6.27	23.53	37.53	38.81	0.00	31.12	2.91	15.87	46.99	1.45
A940	38.06545	-122.05471	Suisun Bay	Suisun Bay	May-2022	26.71	4.49	18.24	17838.69	7.88	8.54	96.52	52.82	4.38	30.85	4.63	18.27	15847.7	10.80	1.48	2.32	2.43	0.00	6.22	23.74	37.24	38.97	0.00	31.20	2.92	15.94	47.14	1.47
A941	38.06509	-122.05656	Suisun Bay	Suisun Bay	May-2022	26.82	4.60	18.23	18066.63	7.88	8.52	96.41	54.06	4.43	30.81	4.67	18.26	16053.8	10.95	1.48	2.35	2.46	0.00	6.30	23.48	37.33	39.07	0.00	31.42	2.92	15.92	47.34	1.51
A942	38.06495	-122.05838	Suisun Bay	Suisun Bay	May-2022	26.95	4.66	18.22	18329.09	7.88	8.51	96.33	53.81	4.46	30.80	4.71	18.25	16296.9	11.13	1.48	2.35	2.49	0.00	6.33	23.39	37.16	39.39	0.00	31.60	2.92	15.92	47.52	1.54
A943	38.06474	-122.06008	Suisun Bay	Suisun Bay	May-2022	26.95	4.66	18.22	18329.09	7.88	8.51	96.33	53.81	4.46	30.80	4.71	18.25	16296.9	11.13	1.48	2.35	2.49	0.00	6.33	23.39	37.16	39.39	0.00	31.60	2.92	15.92	47.52	1.54
A944	38.06458	-122.06186	Suisun Bay	Suisun Bay	May-2022	27.05	4.70	18.21	18603.55	7.88	8.49	96.28	51.87	4.46	30.86	4.75	18.25	16544.8	11.32	1.49	2.32	2.52	0.00	6.33	23.63	36.61	39.80	0.00	31.74	2.92	15.94	47.69	1.58
A945	38.06426	-122.06369	Suisun Bay	Suisun Bay	May-2022	27.14	4.79	18.21	18867.36	7.87	8.48	96.26	47.36	4.42	30.94	4.78	18.24	16760.8	11.48	1.52	2.24	2.53	0.00	6.29	24.23	35.53	40.23	0.00	31.93	2.93	15.98	47.90	1.61
A946	38.06422	-122.06551	Suisun Bay	Suisun Bay	May-2022	27.06	4.95	18.22	19073.15	7.87	8.48	96.29	42.12	4.34	31.22	4.78	18.25	16917.6	11.60	1.55	2.11	2.53	0.00	6.19	25.04	34.10	40.85	0.00	32.00	2.95	16.09	48.09	1.63
A947	38.06387	-122.06729	Suisun Bay	Suisun Bay	May-2022	26.89	5.15	18.23	19209.10	7.87	8.47	96.32	37.78	4.28	31.56	4.77	18.27	17007.5	11.66	1.57	2.00	2.52	0.00	6.08	25.80	32.86	41.41	0.00	32.04	2.98	16.22	48.26	1.66
A948	38.06378	-122.06908	Suisun Bay	Suisun Bay	May-2022	26.71	5.39	18.25	19285.42	7.87	8.47	96.37	34.28	4.22	32.00	4.74	18.29	17057.2	11.69	1.58	1.89	2.51	0.00	5.98	26.43	31.58	42.04	0.00	32.10	3.01	16.40	48.50	1.68
A949	38.06409	-122.07094	Suisun Bay	Suisun Bay	May-2022	26.59	5.65	18.28	19330.38	7.87	8.47	96.43	32.61	4.20	32.44	4.72	18.32	17089.9	11.70	1.59	1.81	2.53	0.00	5.91	26.86	30.55	42.79	0.00	32.25	3.04	16.58	48.82	1.70
A950	38.06238	-122.07273	Suisun Bay	Suisun Bay	May-2022	26.51	6.21	18.34	19294.38	7.87	8.47	96.56	29.94	4.19	32.90	4.72	18.37	17092.4	11.69	1.60	1.72	2.56	0.00	5.85	27.27	29.45	43.69	0.00	32.70	3.07	16.76	49.47	1.70
A951	38.06157	-122.07449	Suisun Bay	Suisun Bay	May-2022	26.55	6.96	18.37	19327.20	7.87	8.48	96.67	31.20	4.23	33.04	4.75	18.38	17180.1	11.75	1.62	1.73	2.61	0.00	5.93	27.28	29.17	43.92	0.00	33.44	3.08	16.82	50.31	1.71
A952	38.06081	-122.07622	Suisun Bay	Suisun Bay	May-2022	26.68	7.39	18.32	19496.46	7.88	8.48	96.63	35.60	4.32	32.80	4.79	18.32	17354.9	11.90	1.63	1.84	2.64	0.00	6.10	26.80	30.08	43.33	0.00	33.91	3.07	16.72	50.78	1.73
A953	38.06034	-122.07803	Suisun Bay	Suisun Bay	May-2022	26.68	7.39	18.32	19496.46	7.88	8.48	96.63	35.60	4.32	32.80	4.79	18.32	17354.9	11.90	1.63	1.84	2.64	0.00	6.10	26.80	30.08	43.33	0.00	33.91	3.07	16.72	50.78	1.73
A954	38.05975	-122.07989	Suisun Bay	Suisun Bay	May-2022	26.81	7.68	18.24	19721.94	7.88	8.47	96.53	40.16	4.40	32.36	4.83	18.22	17551.8	12.08	1.64	1.97	2.67	0.00	6.28	26.17	31.28	42.60	0.00	34.25	3.03	16.54	51.09	1.74
A955	38.05914	-122.08169	Suisun Bay	Suisun Bay	May-2022	26.90	8.01	18.14	19948.46	7.88	8.48	96.46	41.66	4.44	32.00	4.85	18.13	17717.2	12.23	1.64	2.02	2.69	0.00	6.36	25.86	31.76	42.38	0.00	34.62	3.01	16.40	51.46	1.74
A956	38.05830	-122.08343	Suisun Bay	Suisun Bay	May-2022	26.96	7.93	18.06	20158.21	7.89	8.48	96.40	41.96	4.48	31.78	4.88	18.06	17841.2	12.34	1.65	2.04	2.72	0.00	6.41	25.73	31.82	42.39	0.00	34.59	2.99	16.31	51.37	1.75
A957	38.05790	-122.08519	Suisun Bay	Suisun Bay	May-2022	26.96	7.76	18.02	20296.95	7.89	8.48	96.44	40.07	4.47	31.82	4.89	18.03	17908.2	12.40	1.67	1.98	2.74	0.00	6.39	26.10	30.98	42.90	0.00	34.48	2.99	16.33	51.15	1.76
A958	38.05738	-122.08702	Suisun Bay	Suisun Bay	May-2022	26.84	7.85	18.01	20371.30	7.90	8.49	96.53	38.20	4.41	32.12	4.86	18.02	17961.7	12.45	1.68	1.89	2.72	0.00	6.29	26.80	30.06	43.26	0.00	34.63	3.02	16.45	51.24	1.75
A959	38.05613	-122.08885	Suisun Bay	Suisun Bay	May-2022	26.73	7.70	17.98	20477.84	7.90	8.49	96.52	39.41	4.40	32.13	4.84	17.99	18045.9	12.52	1.69	1.91	2.70	0.00	6.29	26.85	30.30	42.85	0.00	34.54	3.02	16.45	51.05	1.76
A960	38.05587	-122.09070	Suisun Bay	Suisun Bay	May-2022	26.64	7.57	17.94	20596.94	7.90	8.49	96.45	43.10	4.40	31.94	4.82	17.95	18140.1	12.60	1.68	1.99	2.67	0.00	6.34	26.49	31.26	42.14	0.00	34.48	3.00	16.38	50.87	1.76
A961	38.05466	-122.09246	Suisun Bay	Suisun Bay	May-2022	26.65	7.86	17.89	20755.18	7.89	8.47	96.24	51.18	4.46	31.23	4.81	17.90	18256.1	12.70	1.64	2.19	2.66	0.00	6.49	25.30	33.69	40.99	0.00	34.87	2.95	16.09	51.14	1.75
A962	38.05355	-122.09420	Suisun Bay	Suisun Bay	May-2022	26.73	8.16	17.88	20797.12	7.89	8.47	96.15	54.51	4.50	30.94	4.82	17.89	18286.6	12.73	1.62	2.28	2.67	0.00	6.56	24.79	34.69	40.72	0.00	35.20	2.93	15.97	51.46	1.73
A963	38.05277	-122.09600	Suisun Bay	Suisun Bay	May-2022	26.88	8.17	17.85	20916.36	7.89	8.46	96.02	58.18	4.56	30.41	4.83	17.87	18366.4	12.80	1.60	2.40	2.68	0.00	6.67	24.09	35.87	40.25	0.00	35.30	2.89	15.76	51.40	1.74
A964	38.05158	-122.09775	Suisun Bay	Suisun Bay	May-2022	27.08	8.39	17.83	21067.07	7.89	8.44	95.91	59.26	4.62	29.82	4.83	17.86	18485.1	12.89	1.59	2.49	2.71	0.00	6.76	23.62	36.76	40.09	0.00	35.62	2.85	15.53	51.54	1.72
