"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2022, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at twelve large river sites throughout the United States, June through October 2019: U.S. Geological Survey data release, https://doi.org/10.5066/P99I27T4.",,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
8057410,"Trinity River below Dallas, TX",8/5/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",8/20/2019,1030,Regular,<,0.1,<,0.05,<,0.02,<,0.15,19.9,8.9,<,"1,900",,"5,900",<,"1,900",E,"1,200",<,"2,800",<,"3,100"
8057410,"Trinity River below Dallas, TX",8/20/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",8/20/2019,1031,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,19.8,8.4,E,"2,100",E,"3,100",<,"1,900",E,"1,600",<,"2,800",<,"3,100"
8057410,"Trinity River below Dallas, TX",8/20/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",9/4/2019,950,Regular,<,0.1,<,0.05,<,0.02,<,0.15,15.9,5.7,<,"1,300",<,560,<,"1,200",E,"1,100",<,"1,800",<,"2,000"
8057410,"Trinity River below Dallas, TX",9/4/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",9/17/2019,1330,Regular,<,0.1,<,0.05,<,0.02,<,0.15,11.1,5.4,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100"
8057410,"Trinity River below Dallas, TX",9/17/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
8057410,"Trinity River below Dallas, TX",10/2/2019,1310,Regular,<,0.1,<,0.05,<,0.02,<,0.15,8.3,5,<,"1,700",<,760,<,"1,700",E,970,<,"2,500",<,"2,800"
8057410,"Trinity River below Dallas, TX",10/2/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",6/6/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.6,1.2,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",6/6/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",6/24/2019,930,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.9,1.7,<,"1,200",,"11,000",<,"1,200",<,490,<,"1,700",E,"3,500"
11447650,"Sacramento River at Freeport, CA",6/24/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",7/25/2019,900,Regular,<,0.1,<,0.05,<,0.02,<,0.15,3.5,2.7,E,"1,300",E,"1,900",<,"1,200",<,520,<,"1,800",<,"2,000"
11447650,"Sacramento River at Freeport, CA",7/25/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",7/25/2019,901,Concurrent Replicate,<,0.1,<,0.05,<,0.02,<,0.15,2.61,2.54,,"2,000",<,420,<,930,<,390,<,"1,400",E,"2,800"
11447650,"Sacramento River at Freeport, CA",7/25/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",8/19/2019,900,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.6,1.7,<,960,<,420,<,930,<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",8/19/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
11447650,"Sacramento River at Freeport, CA",10/9/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.3,1,E,"1,900",<,750,<,930,<,390,<,"1,400",<,"1,500"
11447650,"Sacramento River at Freeport, CA",10/9/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",6/11/2019,1150,Regular,<,0.1,<,0.05,<,0.02,<,0.15,6.9,1.5,E,"1,100",<,420,,"24,000",<,390,<,"1,400",<,"1,500"
14211720,"Willamette River at Portland, OR",6/11/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",7/8/2019,1220,Regular,<,0.1,<,0.05,<,0.02,<,0.15,5.4,2,<,"1,300",<,560,<,"1,200",<,520,,"220,000",<,"2,000"
14211720,"Willamette River at Portland, OR",7/8/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",7/23/2019,1120,Regular,<,0.1,<,0.05,<,0.02,<,0.15,8.2,4.2,<,"1,900",<,840,<,"1,900",<,780,,"39,000",E,"4,500"
14211720,"Willamette River at Portland, OR",7/23/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",8/6/2019,1120,Regular,<,0.1,<,0.05,<,0.02,<,0.15,12.1,5.1,E,990,<,420,<,930,,"2,400",E,"3,300",<,"1,500"
14211720,"Willamette River at Portland, OR",8/6/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",8/20/2019,1230,Regular,<,0.1,<,0.05,<,0.02,<,0.15,4.9,2.2,,"14,000",<,560,<,"1,200",,"2,400",,"20,000",<,"2,000"
14211720,"Willamette River at Portland, OR",8/20/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",9/10/2019,1220,Regular,<,0.1,<,0.05,<,0.02,<,0.15,2.8,1.5,,"8,500",,"2,200",<,930,<,390,<,"1,400",<,"1,500"
14211720,"Willamette River at Portland, OR",9/10/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
14211720,"Willamette River at Portland, OR",10/8/2019,1130,Regular,<,0.1,<,0.05,<,0.02,<,0.15,1.4,0.8,E,"1,500",,"15,000",,"5,600",<,520,<,"1,800",E,"2,400"
14211720,"Willamette River at Portland, OR",10/8/2019,NA,Laboratory Replicate,<,0.1,<,0.05,<,0.02,<,0.15,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM
