CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A720	38.10264	-121.71954	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.45	16.45	147.91	7.64	9.51	97.29	10.35	1.04	17.06	1.72	19.14	16.42	124.2	0.04	0.06	2.88	0.62	0.29	3.87	1.26	75.46	15.70	7.20
A4185	38.10621	-121.49752	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.40	17.15	114.56	7.55	10.24	106.27	7.66	0.99	20.44	1.69	22.60	17.15	98.2	0.06	0.00	1.93	0.04	0.71	2.73	0.09	71.77	1.35	26.81
A1033	38.09789	-122.05527	Suisun Bay	Suisun Bay	May-2024	22.77	16.88	1223.36	7.79	9.89	102.38	73.91	5.46	45.60	7.79	65.60	16.89	1031.5	0.61	4.83	8.29	5.43	0.00	18.55	26.23	44.54	29.22	0.00
A4187	38.10619	-121.49248	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.41	17.15	114.60	7.55	10.29	106.81	7.67	1.00	20.45	1.70	22.53	17.15	98.2	0.06	0.01	1.90	0.02	0.78	2.76	0.26	70.34	0.53	28.91
A3436	38.10294	-121.59895	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.57	17.30	193.74	7.68	10.01	104.26	8.32	1.83	26.39	2.94	29.84	17.29	165.8	0.09	0.65	3.23	1.25	0.16	5.28	12.37	61.22	23.60	2.80
A3942	38.10651	-121.68442	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	14.11	17.43	183.55	7.67	10.02	104.63	8.51	1.91	25.80	3.10	28.53	17.45	159.2	0.09	0.93	2.66	1.04	0.76	5.39	16.13	50.15	19.03	14.71
A3410	38.10568	-121.56801	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.46	16.43	134.03	7.57	10.46	107.38	8.11	0.97	18.23	1.67	19.96	16.44	109.4	0.06	0.13	2.75	0.33	0.39	3.64	3.24	77.11	8.22	10.98
A3961	38.10614	-121.70069	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	13.18	17.03	164.55	7.65	9.84	101.87	8.84	1.60	21.85	2.64	23.85	17.06	141.1	0.08	0.99	2.52	0.88	0.59	5.01	17.16	53.87	17.34	11.86
A718	38.10452	-121.71677	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.37	16.42	146.94	7.63	9.59	98.01	10.46	1.06	17.08	1.71	19.19	16.38	123.5	0.04	0.04	2.88	0.62	0.29	3.86	0.95	75.74	15.74	7.24
A3444	38.10391	-121.61333	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.66	17.31	193.06	7.69	10.01	104.25	9.20	1.92	26.28	3.05	29.85	17.30	166.1	0.09	0.70	3.31	1.36	0.18	5.55	12.81	59.76	24.40	3.06
